customer_id,signup_date,gender,age,city,state,acquisition_channel
C02060,2024-09-06,Male,35,Chennai,Tamil Nadu,Organic Search
C00466,2025-10-31,Male,,Hyderabad,Telangana,Email
C02990,2026-04-27,Female,24,Mysuru,Karnataka,Organic Search
C00506,2025-06-30,Male,24,Noida,Uttar Pradesh,Organic Search
C04078,2026-02-10,Male,47,Visakhapatnam,Andhra Pradesh,Paid Ads
C04815,2025-03-31,Female,46,Kolkata,West Bengal,Referral
C02094,2026-04-23,Female,22,Udaipur,Rajasthan,Paid Ads
C01670,2025-01-25,Female,,Ahmedabad,Gujarat,Organic Search
C01753,2024-04-12,Female,43,Guwahati,Assam,Paid Ads
C04782,2025-10-25,Male,19,Chennai,Tamil Nadu,Paid Ads
C02654,2026-02-08,Female,,Udaipur,Rajasthan,Organic Search
C00427,2026-04-21,Female,44,Hyderabad,Telangana,Social Media
C01259,2025-12-06,Female,22,Noida,Uttar Pradesh,Social Media
C01074,2025-02-02,Male,,Mumbai,Maharashtra,Social Media
C04994,2026-04-23,Male,33,Vijayawada,Andhra Pradesh,Organic Search
C03796,2026-01-27,Female,41,jaipur,Rajasthan,Paid Ads
C04742,2025-04-02,Male,27,Mysuru,Karnataka,Organic Search
C00658,2026-06-19,Male,26,Chennai,Tamil Nadu,Paid Ads
C00394,2026-06-21,Female,,Coimbatore,Tamil Nadu,Organic Search
C03621,2025-08-06,Male,33,Jaipur,Rajasthan,Social Media
C00280,2024-05-04,Female,19,Indore,Madhya Pradesh,Social Media
C04184,2025-09-10,Male,,Bengaluru,Karnataka,Paid Ads
C04578,2025-05-22,Female,35,Chennai,Tamil Nadu,Organic Search
C01076,2025-05-25,Female,28,Thiruvananthapuram,Kerala,Email
C01136,2025-07-28,Female,36,Pune,Maharashtra,Organic Search
C01589,2026-05-31,Other,25,Chennai,Tamil Nadu,Organic Search
C00578,2025-11-11,Male,45,Kochi,Kerala,Paid Ads
C02292,2025-10-25,Female,32,Mysuru,Karnataka,Paid Ads
C01053,2025-05-11,Female,,Delhi,Delhi,Paid Ads
C01091,2026-03-02,Male,,Coimbatore,Tamil Nadu,Social Media
C03102,2025-06-28,Male,38,Mumbai,Maharashtra,Referral
C01428,2025-12-15,Male,28,UDAIPUR,Rajasthan,Organic Search
C01050,2025-06-16,Female,23,Jaipur,Rajasthan,Social Media
C04455,2026-03-24,Female,36,Jaipur,Rajasthan,Paid Ads
C02519,2025-09-20,Female,41,Coimbatore,Tamil Nadu,Paid Ads
C03160,2026-06-11,Female,32,Nagpur,Maharashtra,Organic Search
C00009,2026-01-20,Female,,Coimbatore,Tamil Nadu,Organic Search
C04163,2026-07-13,Male,46,Lucknow,Uttar Pradesh,Organic Search
C04463,2025-02-27,Male,25,Bhopal,Madhya Pradesh,Paid Ads
C04067,2024-06-11,Male,,Chennai,Tamil Nadu,Referral
C00145,2026-03-20,Male,,Thiruvananthapuram,Kerala,Social Media
C01955,2026-02-06,Female,18,Nagpur,Maharashtra,Social Media
C00562,2026-05-13,Female,20,Bhopal,Madhya Pradesh,Email
C03018,2025-10-16,Male,41,Vijayawada,Andhra Pradesh,Referral
C03784,2026-02-04,Female,26,Gurugram,Haryana,Referral
C04762,2026-06-21,Male,31,Lucknow,Uttar Pradesh,Referral
C00152,2025-07-31,Male,,Mumbai,Maharashtra,Organic Search
C00423,2026-07-24,Male,30,Kochi,Kerala,Paid Ads
C01019,2024-10-11,Female,46,bhubaneswar,Odisha,Organic Search
C02707,2024-07-15,Male,45,Bengaluru,Karnataka,Paid Ads
C03373,2026-06-05,Male,24,Vijayawada,Andhra Pradesh,Organic Search
C01213,2025-04-14,Female,32,Mysuru,Karnataka,Paid Ads
C03712,2025-05-22,Female,42,Mysuru,Karnataka,Referral
C00799,2025-12-20,Male,26,Chandigarh,Chandigarh,Social Media
C03568,2026-01-01,Male,27,Surat,Gujarat,Paid Ads
C02715,2025-09-09,Female,42,Kochi,Kerala,Paid Ads
C00415,2025-10-22,Male,25,Ahmedabad,Gujarat,Social Media
C02303,2025-08-25,Male,18,Ahmedabad,Gujarat,Paid Ads
C04733,2026-07-11,Male,44,Pune,Maharashtra,Organic Search
C03995,2025-02-07,Male,37,Vijayawada,,Email
C00625,2025-08-12,Male,32,Ahmedabad,Gujarat,Referral
C01616,2025-11-27,Female,,Bhubaneswar,Odisha,Social Media
C00765,2026-02-09,Male,33,Thiruvananthapuram,Kerala,Organic Search
C02681,2024-02-08,Male,35,Thiruvananthapuram,Kerala,Organic Search
C04375,2025-05-07,Male,49,Hyderabad,Telangana,Referral
C03530,2025-10-19,,46,Lucknow,Uttar Pradesh,Paid Ads
C00812,2026-02-26,,25,Mysuru,Karnataka,Social Media
C00101,2024-05-14,Female,22,Vijayawada,Andhra Pradesh,Paid Ads
C02823,2024-03-11,Other,28,Noida,Uttar Pradesh,Email
C00654,2025-12-13,Male,34,CHENNAI,Tamil Nadu,Paid Ads
C00860,2026-04-19,Male,24,Vijayawada,Andhra Pradesh,Referral
C01613,2025-10-09,Female,40,Bhubaneswar,Odisha,Paid Ads
C00764,2026-03-20,Male,,Surat,Gujarat,Paid Ads
C00334,2025-11-07,Female,,Ahmedabad,Gujarat,Paid Ads
C01630,2025-02-12,Male,20,Indore,Madhya Pradesh,Organic Search
C04657,2026-05-05,Other,35,Surat,Gujarat,Social Media
C04340,2026-02-27,Male,22,Mysuru,,Social Media
C00228,2024-09-25,Male,,Visakhapatnam,Andhra Pradesh,Paid Ads
C01946,2025-10-03,Female,18,Guwahati,Assam,Organic Search
C01352,2024-12-21,Male,29,Ranchi,Jharkhand,Social Media
C04341,2025-04-11,Male,18,Chandigarh,Chandigarh,Social Media
C02697,2025-10-19,Male,,Surat,Gujarat,Referral
C00766,2026-02-26,Female,33,Pune,Maharashtra,Organic Search
C01974,2025-02-04,Female,,Bhopal,Madhya Pradesh,Paid Ads
C04075,2025-10-20,Female,36,Ahmedabad,Gujarat,Referral
C04587,2025-04-07,Male,34,Guwahati,Assam,Paid Ads
C04266,2026-01-21,Male,29,Vijayawada,Andhra Pradesh,Organic Search
C04786,2024-11-24,Male,25,Mysuru,Karnataka,Social Media
C03314,2026-06-22,Male,32,Kolkata,West Bengal,Social Media
C03293,2025-08-17,Female,20,Guwahati,Assam,Social Media
C04256,2025-10-03,Other,38,Chennai,Tamil Nadu,Paid Ads
C04123,2026-01-25,Male,32,Vijayawada,Andhra Pradesh,Social Media
C01232,2025-09-15,Male,47,Ranchi,Jharkhand,Paid Ads
C03626,2026-01-16,Female,33,Thiruvananthapuram,Kerala,Social Media
C03211,2025-06-11,Male,36,Udaipur,Rajasthan,Organic Search
C02623,2026-01-03,Male,32,SURAT,Gujarat,Organic Search
C04197,2024-10-25,Female,47,vijayawada,Andhra Pradesh,Paid Ads
C00374,2025-05-21,Female,,Delhi,Delhi,Paid Ads
C03159,2025-05-29,Male,40,kolkata,West Bengal,Paid Ads
C03300,2025-03-29,Female,25,Delhi,Delhi,Referral
C04785,2024-12-06,Male,48,Thiruvananthapuram,Kerala,Paid Ads
C02788,2024-10-01,Female,22,VIJAYAWADA,Andhra Pradesh,Social Media
C00034,2025-12-25,Female,35,Indore,Madhya Pradesh,Referral
C04577,2025-05-15,Male,21,Bhubaneswar,Odisha,Referral
C02313,2026-05-08,Male,26,RANCHI,Jharkhand,Referral
C02408,2024-12-16,,26,Vijayawada,Andhra Pradesh,Organic Search
C00927,2025-12-30,Male,,Faridabad,Haryana,Referral
C02139,2026-02-05,Female,,Thiruvananthapuram,Kerala,Paid Ads
C01774,2025-01-12,Female,20,Guwahati,Assam,Paid Ads
C02700,2025-01-01,Male,38,Pune,Maharashtra,Referral
C01552,2025-02-18,Male,47,mumbai,Maharashtra,Referral
C01306,2025-11-16,Male,48,Bhubaneswar,Odisha,Referral
C02073,2025-02-20,Male,44,Guwahati,Assam,Organic Search
C02726,2026-01-14,Male,21,Hyderabad,Telangana,Paid Ads
C02423,2026-01-27,Female,32,Jaipur,Rajasthan,Organic Search
C03662,2025-11-16,Female,39,Lucknow,Uttar Pradesh,Paid Ads
C04388,2026-04-07,Male,38,Delhi,Delhi,Organic Search
C04686,2026-02-25,Female,31,Nagpur,Maharashtra,Paid Ads
C00811,2024-09-02,Female,35,Vijayawada,Andhra Pradesh,Social Media
C01363,2026-07-10,Male,40,Faridabad,Haryana,Organic Search
C00231,2026-02-19,Male,33,Surat,Gujarat,Social Media
C02908,2026-07-28,Male,42,Lucknow,Uttar Pradesh,Social Media
C03771,2025-06-12,Female,21,Kolkata,West Bengal,Organic Search
C02471,2026-02-26,Male,27,Jaipur,Rajasthan,Paid Ads
C00492,2026-05-01,Female,25,Jaipur,Rajasthan,Email
C03321,2026-03-24,Female,29,Faridabad,Haryana,Paid Ads
C00997,2025-06-13,,27,Udaipur,Rajasthan,Email
C00777,2025-04-19,Female,40,Delhi,Delhi,Paid Ads
C04233,2026-06-01,Male,28,Chennai,Tamil Nadu,Paid Ads
C04665,2024-06-04,Female,25,Chennai,Tamil Nadu,Paid Ads
C02092,2026-04-29,Other,33,Udaipur,Rajasthan,Organic Search
C01294,2025-06-28,Male,37,Noida,Uttar Pradesh,Paid Ads
C03045,2025-10-20,Male,38,Nagpur,Maharashtra,Social Media
C04027,2026-03-31,Female,25,Bhopal,Madhya Pradesh,Referral
C04955,2026-03-08,Female,39,Bengaluru,Karnataka,Organic Search
C02772,2024-11-06,Male,39,Bhubaneswar,Odisha,Email
C00712,2026-04-16,Male,,Delhi,Delhi,Email
C00498,2025-08-12,,,Jaipur,Rajasthan,Paid Ads
C01832,2025-04-11,Female,29,Gurugram,Haryana,Organic Search
C02733,2024-10-02,Female,29,Nagpur,Maharashtra,Organic Search
C02221,2025-06-29,Male,,Faridabad,Haryana,Paid Ads
C03340,2026-01-26,Female,26,Bengaluru,Karnataka,Organic Search
C00590,2024-11-17,Female,,Pune,Maharashtra,Referral
C01527,2026-05-04,Male,35,COIMBATORE,Tamil Nadu,Social Media
C04164,2026-06-03,,36,Gurugram,Haryana,Paid Ads
C02111,2026-03-18,,29,Faridabad,Haryana,Referral
C04201,2025-07-04,Female,23,Thiruvananthapuram,Kerala,Organic Search
C04547,2026-01-17,Female,39,Chandigarh,Chandigarh,Paid Ads
C03085,2026-05-30,Female,32,Noida,Uttar Pradesh,Social Media
C02652,2025-04-23,Male,28,Ahmedabad,Gujarat,Social Media
C01109,2024-08-18,Female,38,Chandigarh,Chandigarh,Social Media
C00150,2025-04-23,Female,45,Bhubaneswar,Odisha,Paid Ads
C04212,2025-11-23,Female,25,Nagpur,Maharashtra,Organic Search
C04871,2026-05-31,Female,36,Gurugram,Haryana,Organic Search
C03868,2025-07-30,Female,22,Visakhapatnam,Andhra Pradesh,Organic Search
C00013,2025-12-09,Female,23,Gurugram,Haryana,Referral
C03569,2025-07-04,Female,25,Ahmedabad,Gujarat,Organic Search
C04349,2025-02-26,Female,37,Chandigarh,Chandigarh,Social Media
C01515,2026-02-18,Male,20,Hyderabad,,Paid Ads
C01785,2026-03-08,Male,29,Kanpur,Uttar Pradesh,Social Media
C03708,2026-05-10,Male,21,Gurugram,Haryana,Organic Search
C00732,2025-09-24,Male,24,thiruvananthapuram,Kerala,Paid Ads
C00752,2026-02-02,Female,18,Patna,Bihar,Paid Ads
C04938,2025-09-11,Male,41,Lucknow,Uttar Pradesh,Social Media
C01322,2025-05-04,Female,29,Patna,Bihar,Organic Search
C03990,2026-03-05,Female,19,Surat,Gujarat,Email
C01860,2025-09-03,Female,40,Surat,Gujarat,Organic Search
C04978,2026-03-19,Male,18,Chennai,Tamil Nadu,Organic Search
C03886,2025-08-16,,39,Visakhapatnam,Andhra Pradesh,Referral
C01127,2026-03-30,Male,28,Faridabad,Haryana,Social Media
C02971,2026-05-18,Female,53,Thiruvananthapuram,Kerala,Organic Search
C02128,2025-03-25,Male,18,Mysuru,Karnataka,Email
C04927,2026-02-11,Male,20,Patna,Bihar,Email
C01211,2026-06-20,Female,47,Visakhapatnam,Andhra Pradesh,Referral
C02226,2025-10-31,Female,41,Vijayawada,Andhra Pradesh,Social Media
C01887,2025-04-24,Male,33,Kanpur,Uttar Pradesh,Paid Ads
C02043,2026-02-04,Female,26,Surat,,Paid Ads
C00587,2026-03-23,Female,47,Kochi,Kerala,Referral
C04641,2025-01-05,Female,31,Gurugram,Haryana,Paid Ads
C04230,2025-12-24,Male,27,Bhubaneswar,,Paid Ads
C04182,2024-12-03,Male,36,Pune,Maharashtra,Paid Ads
C02340,2026-03-01,Male,54,Gurugram,Haryana,Organic Search
C00133,2025-11-20,Female,43,Jaipur,Rajasthan,Referral
C01182,2025-03-20,Male,20,Guwahati,Assam,Organic Search
C01741,2024-12-08,Male,36,Kanpur,Uttar Pradesh,Referral
C00978,2025-05-11,Female,46,Coimbatore,Tamil Nadu,Email
C00678,2025-03-26,Male,32,Coimbatore,Tamil Nadu,Paid Ads
C04377,2024-10-19,Male,32,Guwahati,Assam,Social Media
C04705,2025-10-08,Female,39,Lucknow,Uttar Pradesh,Referral
C01118,2025-09-03,Male,,Kolkata,West Bengal,Paid Ads
C00288,2025-04-25,Male,30,Lucknow,Uttar Pradesh,Paid Ads
C01414,2026-03-23,Male,,Kochi,Kerala,Social Media
C03133,2026-05-21,Female,18,Mumbai,Maharashtra,Organic Search
C03683,2025-09-10,Female,,Lucknow,Uttar Pradesh,Paid Ads
C04191,2024-10-28,Male,31,Noida,Uttar Pradesh,Paid Ads
C01324,2026-04-09,Male,30,Nagpur,Maharashtra,Paid Ads
C04289,2026-05-13,Male,36,Kochi,Kerala,Paid Ads
C03863,2025-04-11,Female,,Mumbai,Maharashtra,Referral
C01944,2025-01-04,Male,42,Patna,Bihar,Organic Search
C04292,2026-02-02,Male,41,Chandigarh,Chandigarh,Social Media
C02930,2025-07-08,Female,48,Pune,Maharashtra,Email
C00843,2026-02-03,Male,26,Surat,Gujarat,Paid Ads
C03494,2025-09-11,Female,36,Thiruvananthapuram,Kerala,Paid Ads
C01293,2026-05-16,Female,32,Ahmedabad,Gujarat,Email
C02693,2025-06-28,Female,24,Bhubaneswar,Odisha,Email
C04542,2024-06-18,Male,32,Bengaluru,Karnataka,Organic Search
C01766,2026-05-03,Female,32,Gurugram,Haryana,Organic Search
C04891,2025-03-17,Female,41,Mumbai,Maharashtra,Organic Search
C04648,2026-05-10,Female,23,Bhubaneswar,Odisha,Organic Search
C03011,2026-02-16,Female,18,Guwahati,Assam,Email
C02582,2024-09-15,,23,Nagpur,Maharashtra,Paid Ads
C00682,2025-02-10,Female,42,KOLKATA,West Bengal,Referral
C03971,2025-10-19,Male,55,Mysuru,Karnataka,Paid Ads
C01418,2025-11-14,,24,Udaipur,Rajasthan,Referral
C02122,2024-04-17,Female,20,Noida,Uttar Pradesh,Organic Search
C04600,2026-01-29,Male,27,chandigarh,Chandigarh,Social Media
C02630,2026-06-10,Female,26,Indore,Madhya Pradesh,Paid Ads
C02025,2026-02-22,Female,40,Ranchi,Jharkhand,Paid Ads
C03280,2025-02-17,Female,24,Vijayawada,Andhra Pradesh,Social Media
C02224,2025-03-23,,34,Ahmedabad,Gujarat,Paid Ads
C00970,2025-10-05,Female,41,Bhopal,Madhya Pradesh,Paid Ads
C03536,2024-11-01,Male,18,Guwahati,Assam,Referral
C04923,2025-10-30,Male,30,Mumbai,Maharashtra,Referral
C04883,2026-05-13,,38,Lucknow,Uttar Pradesh,Social Media
C04676,2026-07-11,Female,42,Chennai,Tamil Nadu,Email
C03787,2025-05-01,Female,38,Nagpur,Maharashtra,Paid Ads
C02687,2025-08-03,Male,29,Thiruvananthapuram,Kerala,Paid Ads
C02446,2025-01-07,Female,27,Kochi,Kerala,Social Media
C00556,2024-09-05,Female,21,Guwahati,Assam,Email
C02058,2026-02-17,Female,30,Vijayawada,Andhra Pradesh,Paid Ads
C00430,2025-05-04,Female,34,Mysuru,Karnataka,Organic Search
C04862,2025-01-18,Other,31,Bhubaneswar,Odisha,Organic Search
C03810,2025-08-06,Male,23,Chandigarh,Chandigarh,Social Media
C04271,2026-06-07,Male,40,Indore,Madhya Pradesh,Social Media
C03017,2025-10-08,Male,37,Visakhapatnam,Andhra Pradesh,Social Media
C03538,2025-09-14,Female,41,Ahmedabad,Gujarat,Social Media
C04330,2026-04-02,Female,39,Visakhapatnam,Andhra Pradesh,Referral
C03671,2025-12-25,Male,22,Chandigarh,Chandigarh,Organic Search
C04374,2026-03-18,Female,42,Bhubaneswar,Odisha,Organic Search
C00291,2026-01-20,Female,32,Mysuru,Karnataka,Organic Search
C03801,2025-03-25,Male,33,Bhopal,Madhya Pradesh,Paid Ads
C02147,2025-07-31,Female,33,Thiruvananthapuram,Kerala,Social Media
C00253,2026-02-18,Male,51,Mumbai,Maharashtra,Paid Ads
C03264,2025-05-16,Female,39,Hyderabad,Telangana,Organic Search
C00351,2025-09-29,Female,27,Thiruvananthapuram,Kerala,Social Media
C03231,2025-08-30,Female,21,Hyderabad,Telangana,Organic Search
C02528,2026-05-29,Male,,Kochi,Kerala,Referral
C04223,2026-02-23,Male,39,Guwahati,Assam,Social Media
C00472,2025-07-31,Female,37,VISAKHAPATNAM,Andhra Pradesh,Organic Search
C00091,2025-10-21,,35,Delhi,Delhi,Paid Ads
C01739,2025-06-14,Female,36,coimbatore,Tamil Nadu,Organic Search
C01437,2025-07-01,Male,18,Guwahati,Assam,Social Media
C00692,2024-08-04,Male,44,Faridabad,Haryana,Paid Ads
C03059,2025-09-28,Other,31,Noida,Uttar Pradesh,Organic Search
C00027,2025-08-04,Male,25,Surat,Gujarat,Paid Ads
C02293,2026-03-22,Female,36,Kanpur,Uttar Pradesh,Paid Ads
C03639,2026-01-03,Female,23,Ranchi,Jharkhand,Paid Ads
C03706,2026-04-30,Male,30,Ranchi,Jharkhand,Social Media
C00502,2024-07-08,Female,,Indore,Madhya Pradesh,Organic Search
C03967,2024-06-08,Male,29,Chandigarh,Chandigarh,Organic Search
C01607,2025-05-17,Female,30,Hyderabad,Telangana,Social Media
C02099,2025-04-02,Other,20,Patna,Bihar,Organic Search
C04605,2025-02-23,Male,23,jaipur,Rajasthan,Email
C04720,2025-03-08,Female,36,Visakhapatnam,Andhra Pradesh,Referral
C03244,2025-11-09,Other,33,Kanpur,Uttar Pradesh,Organic Search
C01420,2025-01-21,Female,,Ranchi,Jharkhand,Social Media
C00255,2026-02-02,Female,50,Thiruvananthapuram,Kerala,Organic Search
C01898,2024-04-19,Female,25,Chennai,Tamil Nadu,Referral
C03401,2025-10-26,Female,29,Kolkata,West Bengal,Email
C01979,2025-12-14,Male,39,Guwahati,Assam,Organic Search
C04323,2024-09-16,Male,39,Patna,Bihar,Paid Ads
C02527,2025-11-12,Female,24,Faridabad,Haryana,Referral
C01273,2025-05-02,Female,42,Coimbatore,Tamil Nadu,Social Media
C01452,2025-08-06,Male,31,Indore,Madhya Pradesh,Organic Search
C01262,2024-06-08,Male,32,Thiruvananthapuram,Kerala,Social Media
