order_id,customer_id,order_date,payment_method,order_status,discount_amount,shipping_fee
O015066,C01602,2025-12-19,Net Banking,Completed,423.98,0.0
O012551,C04861,2025-08-08,UPI,Completed,0.0,0.0
O008092,C04884,2026-02-10,Debit Card,Completed,0.0,0.0
O022051,C01482,2026-01-03,Cash on Delivery,Completed,0.0,0.0
O020109,C00266,2026-06-19,UPI,Completed,0.0,0.0
O003661,C01488,2025-05-09,Debit Card,Returned,1010.13,0.0
O023970,C03267,2026-02-14,Credit Card,Completed,0.0,0.0
O019154,C04401,2026-07-16,Debit Card,Completed,60.92,49.0
O011948,C02414,2025-04-29,UPI,Completed,454.64,0.0
O003475,C02173,2026-06-15,Credit Card,Completed,0.0,0.0
O008266,C02488,2025-08-18,UPI,Completed,0.0,0.0
O025598,C00117,2026-05-06,Cash on Delivery,Completed,0.0,0.0
O003830,C01993,2026-03-28,Debit Card,Completed,0.0,0.0
O025919,C02734,2026-06-17,Credit Card,Completed,0.0,0.0
O003549,C04692,2026-05-04,Cash on Delivery,Completed,480.96,0.0
O027028,C03105,2026-01-22,Cash on Delivery,Cancelled,0.0,0.0
O015653,C00631,2026-08-25,UPI,Completed,0.0,0.0
O021652,C04546,2026-05-30,Debit Card,Completed,0.0,0.0
O026313,C02201,2025-02-10,UPI,Completed,534.31,0.0
O013138,C01100,2026-08-06,UPI,Completed,1507.49,0.0
O013472,C02946,2026-08-14,UPI,Completed,0.0,0.0
O025302,C03914,2026-08-09,Credit Card,Completed,2515.34,0.0
O015818,C01196,2025-12-08,UPI,Completed,944.77,0.0
O023705,C00126,2025-06-22,UPI,Cancelled,0.0,0.0
O023069,C02193,2026-03-13,UPI,Completed,0.0,0.0
O017300,C01526,2026-06-23,Debit Card,Returned,0.0,0.0
O002251,C04908,2026-05-05,UPI,Completed,1608.46,0.0
O010115,C04796,2026-04-10,Debit Card,Completed,0.0,0.0
O002642,C03690,2025-01-01,UPI,Completed,0.0,0.0
O003024,C01097,2026-03-10,UPI,Completed,1143.9,0.0
O009415,C03465,2026-06-23,UPI,Completed,209.83,0.0
O001960,C02224,2025-07-12,Credit Card,Completed,1178.74,0.0
O024433,C01582,2026-03-16,UPI,Completed,0.0,0.0
O019033,C00675,2026-06-29,Credit Card,Completed,0.0,0.0
O001490,C01527,2026-06-01,UPI,Completed,0.0,0.0
O009516,C00122,2025-12-03,Credit Card,Completed,0.0,0.0
O024856,C04627,2026-03-16,UPI,Completed,223.8,0.0
O019212,C02470,2026-01-16,Debit Card,Completed,0.0,0.0
O012711,C02684,2025-12-10,Net Banking,Completed,658.75,0.0
O000627,C00180,2025-10-25,UPI,Completed,198.31,0.0
O010038,C04653,2025-06-08,Credit Card,Completed,0.0,0.0
O013135,C01100,2026-06-05,Net Banking,Completed,0.0,0.0
O003859,C03354,2025-09-07,UPI,Completed,692.87,0.0
O013154,C03920,2026-08-12,,Completed,245.42,0.0
O013767,C04848,2025-09-05,UPI,Completed,0.0,0.0
O018399,C01560,2026-05-20,UPI,Cancelled,1344.76,0.0
O012269,C03407,2026-06-21,Credit Card,Completed,0.0,0.0
O013694,C00663,2026-04-16,Credit Card,Completed,2001.71,0.0
O015405,C03677,2026-03-30,UPI,Completed,412.5,0.0
O026895,C03315,2026-04-22,Credit Card,Pending,0.0,0.0
O005054,C04121,2026-07-06,Credit Card,Completed,0.0,0.0
O018111,C01110,2026-07-05,Net Banking,Completed,0.0,0.0
O025142,C00413,2026-04-23,Debit Card,Completed,0.0,0.0
O019005,C03483,2026-02-22,Cash on Delivery,Completed,127.54,0.0
O017586,C03554,2026-06-06,Credit Card,Completed,0.0,0.0
O004481,C04460,2026-06-04,Debit Card,Completed,0.0,0.0
O020298,C04932,2026-02-23,Net Banking,Completed,0.0,0.0
O005514,C03134,2026-06-07,UPI,Completed,1744.87,0.0
O010374,C03921,2026-07-23,Debit Card,Completed,0.0,0.0
O024625,C03513,2026-05-21,UPI,Completed,280.86,0.0
O012709,C02684,2025-09-09,Credit Card,Cancelled,282.81,0.0
O023634,C02473,2026-01-03,UPI,Completed,0.0,0.0
O026058,C01070,2026-07-26,Debit Card,Completed,0.0,49.0
O025887,C02538,2025-09-24,UPI,Completed,0.0,0.0
O021333,C03046,2026-07-30,Net Banking,Completed,0.0,0.0
O013614,C01369,2025-06-21,Credit Card,Completed,0.0,0.0
O013228,C04903,2026-05-08,Debit Card,Completed,91.92,0.0
O023307,C01620,2025-11-20,UPI,Completed,0.0,0.0
O002899,C02035,2025-11-21,Cash on Delivery,Returned,386.8,0.0
O025849,C00525,2026-04-26,Net Banking,Completed,0.0,0.0
O020819,C04208,2026-03-20,Credit Card,Completed,910.63,0.0
O014945,C00042,2025-06-26,Credit Card,Completed,460.93,0.0
O006391,C03593,2026-06-28,Debit Card,Completed,233.11,0.0
O007577,C04941,2026-07-13,Net Banking,Cancelled,0.0,0.0
O025853,C00525,2026-06-10,Debit Card,Completed,0.0,0.0
O012815,C01901,2025-06-06,Cash on Delivery,Completed,405.63,0.0
O020728,C01521,2026-03-31,Credit Card,Completed,0.0,0.0
O002415,C04967,2025-04-14,,Completed,307.79,0.0
O016162,C02831,2026-07-02,Debit Card,Completed,0.0,0.0
O008009,C00889,2026-07-28,Credit Card,Completed,0.0,0.0
O004703,C00100,2026-02-09,Net Banking,Completed,0.0,0.0
O001556,C03868,2026-03-09,UPI,Completed,0.0,0.0
O013631,C02789,2025-09-03,Cash on Delivery,Completed,0.0,0.0
O000517,C01579,2026-08-09,Cash on Delivery,Completed,0.0,0.0
O020349,C00039,2026-03-13,Net Banking,Completed,0.0,0.0
O009521,C01873,2025-08-31,Net Banking,Completed,0.0,0.0
O005211,C00215,2026-06-30,UPI,Completed,0.0,0.0
O000100,C02672,2026-06-26,Credit Card,Completed,0.0,0.0
O014306,C01941,2025-06-17,Net Banking,Cancelled,0.0,0.0
O003351,C01042,2025-07-20,Net Banking,Completed,0.0,0.0
O014460,C02698,2025-09-27,Cash on Delivery,Completed,0.0,0.0
O015282,C01822,2025-08-26,UPI,Completed,0.0,0.0
O014102,C00845,2025-06-20,Cash on Delivery,Completed,527.59,0.0
O012147,C03927,2025-09-05,UPI,Completed,0.0,0.0
O002508,C00890,2025-12-03,UPI,Completed,0.0,0.0
O012438,C04310,2026-08-30,Net Banking,Completed,0.0,0.0
O026866,C04966,2026-04-20,Cash on Delivery,Completed,165.66,0.0
O006400,C01222,2025-06-20,UPI,Completed,322.26,0.0
O023300,C00321,2025-05-10,UPI,Pending,0.0,0.0
O010466,C02119,2025-11-18,Debit Card,Completed,705.1,0.0
O015110,C04012,2025-06-20,UPI,Completed,0.0,0.0
O018304,C01014,2026-02-18,Debit Card,Cancelled,0.0,0.0
O021702,C02863,2026-08-11,Credit Card,Returned,0.0,0.0
O017191,C03786,2026-05-18,UPI,Completed,0.0,0.0
O003399,C03623,2025-11-14,UPI,Completed,819.57,0.0
O023503,C02871,2026-03-30,Cash on Delivery,Completed,459.9,0.0
O003190,C01963,2026-06-15,UPI,Completed,0.0,0.0
O026051,C01061,2026-07-02,Debit Card,Completed,137.4,0.0
O008677,C00683,2025-04-10,Credit Card,Completed,0.0,0.0
O016861,C01230,2026-04-17,Cash on Delivery,Pending,0.0,0.0
O011735,C04754,2025-07-18,Credit Card,Completed,0.0,0.0
O026158,C00563,2025-10-13,UPI,Pending,1041.76,0.0
O003790,C02941,2026-03-24,Cash on Delivery,Completed,1176.65,0.0
O020328,C01373,2025-06-09,Credit Card,Completed,0.0,0.0
O006577,C04881,2025-12-22,Credit Card,Completed,79.98,0.0
O000313,C01011,2026-07-10,UPI,Completed,511.38,0.0
O022698,C03057,2026-05-30,UPI,Completed,0.0,0.0
O003814,C04621,2025-05-14,Debit Card,Completed,0.0,0.0
O000274,C00169,2026-08-30,Credit Card,Completed,0.0,0.0
O020800,C01459,2026-05-31,Credit Card,Completed,0.0,0.0
O000867,C02292,2026-01-09,Net Banking,Completed,1084.51,0.0
O016715,C02794,2026-03-18,Credit Card,Completed,396.78,0.0
O000706,C01271,2025-07-14,Credit Card,Completed,0.0,0.0
O002394,C03699,2026-07-08,Credit Card,Completed,1622.01,0.0
O026484,C01844,2026-05-06,UPI,Completed,53.96,49.0
O023755,C02798,2025-04-08,UPI,Completed,0.0,0.0
O021761,C02199,2026-01-29,Debit Card,Completed,49.53,49.0
O020512,C02642,2025-04-27,Credit Card,Completed,360.59,0.0
O021389,C02090,2026-03-26,Net Banking,Completed,0.0,0.0
O016178,C00304,2026-04-30,Cash on Delivery,Completed,0.0,0.0
O002142,C03244,2026-05-23,Debit Card,Pending,0.0,0.0
O006804,C01724,2026-05-05,Net Banking,Cancelled,0.0,0.0
O025803,C03848,2025-10-30,Cash on Delivery,Completed,0.0,0.0
O027494,C00467,2026-04-30,Net Banking,Cancelled,0.0,0.0
O013370,C02282,2025-02-04,UPI,Completed,0.0,0.0
O008571,C01351,2025-06-07,Net Banking,Completed,244.06,0.0
O017392,C03752,2026-06-02,Cash on Delivery,Completed,758.5,0.0
O003793,C02941,2026-05-04,UPI,Returned,735.57,0.0
O018925,C03866,2025-03-06,Credit Card,Completed,377.02,0.0
O009775,C04275,2026-01-03,UPI,Completed,449.71,0.0
O020409,C01195,2025-04-14,Debit Card,Completed,55.46,49.0
O002648,C00813,2026-04-25,Credit Card,Pending,0.0,0.0
O018683,C04608,2026-05-30,Debit Card,Completed,1137.62,0.0
O011439,C04470,2025-08-15,UPI,Cancelled,2234.03,0.0
O002902,C02003,2026-04-11,Credit Card,Completed,0.0,0.0
O011035,C00179,2026-07-03,UPI,Completed,0.0,0.0
O027454,C00770,2026-04-08,UPI,Completed,2401.75,0.0
O014504,C04174,2025-09-04,UPI,Completed,0.0,0.0
O010002,C00277,2026-01-18,Credit Card,Completed,731.5,0.0
O020497,C00935,2026-01-30,Cash on Delivery,Completed,880.5,0.0
O017688,C04074,2025-03-09,Debit Card,Completed,0.0,0.0
O004750,C02750,2025-02-02,Credit Card,Completed,0.0,0.0
O024315,C02001,2026-02-25,Net Banking,Completed,0.0,0.0
O023659,C02159,2026-02-18,UPI,Completed,0.0,0.0
O015337,C00058,2025-07-31,Debit Card,Completed,1819.25,0.0
O005099,C02923,2025-08-09,UPI,Completed,0.0,0.0
O022820,C04545,2026-07-10,Credit Card,Completed,0.0,0.0
O011893,C00982,2026-06-17,Debit Card,Completed,0.0,0.0
O001669,C02971,2026-05-26,Debit Card,Completed,689.78,0.0
O007970,C03260,2026-04-14,Debit Card,Completed,364.05,0.0
O015948,C03200,2026-06-24,UPI,Completed,364.92,0.0
O018850,C00716,2026-07-09,Debit Card,Completed,0.0,0.0
O006831,C03661,2026-03-22,UPI,Completed,0.0,0.0
O013167,C01079,2025-05-05,Debit Card,Completed,0.0,0.0
O025167,C00115,2025-01-20,Net Banking,Cancelled,0.0,0.0
O008787,C03221,2026-08-01,Cash on Delivery,Completed,0.0,0.0
O024649,C04176,2025-12-06,UPI,Completed,326.92,0.0
O004521,C02699,2025-10-21,Cash on Delivery,Cancelled,1098.52,0.0
O007714,C03945,2026-03-16,Cash on Delivery,Completed,1283.48,0.0
O018217,C03835,2025-12-09,Net Banking,Completed,0.0,0.0
O015292,C01822,2026-06-12,Cash on Delivery,Returned,0.0,0.0
O021524,C03281,2025-08-05,Net Banking,Completed,0.0,0.0
O017009,C02213,2025-08-26,UPI,Cancelled,0.0,0.0
O007795,C03520,2026-07-20,Net Banking,Completed,0.0,0.0
O014514,C00820,2026-02-23,UPI,Pending,742.15,0.0
O023418,C00724,2026-06-05,Cash on Delivery,Completed,957.87,0.0
O002287,C01659,2026-01-08,Net Banking,Completed,286.37,0.0
O009921,C03380,2026-06-28,Debit Card,Completed,0.0,0.0
O014546,C01576,2026-08-08,UPI,Pending,1956.95,0.0
O022829,C04808,2026-01-23,Debit Card,Completed,0.0,0.0
O026846,C03303,2026-04-23,Net Banking,Completed,0.0,0.0
O006562,C00074,2026-02-08,UPI,Completed,0.0,0.0
O015395,C04056,2026-01-18,Debit Card,Returned,162.43,0.0
O000776,C00506,2025-07-05,UPI,Completed,0.0,49.0
O010204,C01290,2026-06-16,Net Banking,Completed,0.0,0.0
O009060,C01208,2026-08-19,Net Banking,Completed,0.0,0.0
O004520,C02699,2025-10-13,Credit Card,Completed,0.0,0.0
O011431,C03916,2026-01-16,UPI,Completed,0.0,0.0
O011106,C00659,2026-03-06,Credit Card,Completed,403.34,0.0
O004686,C01833,2025-04-30,UPI,Completed,0.0,0.0
O022865,C00794,2025-10-27,Credit Card,Completed,1763.99,0.0
O017732,C00685,2025-02-02,Debit Card,Completed,0.0,0.0
O003845,C02851,2025-12-26,UPI,Completed,0.0,0.0
O020073,C02625,2026-02-18,UPI,Completed,248.6,0.0
O004071,C00603,2026-02-17,Net Banking,Cancelled,0.0,0.0
O006707,C04645,2026-03-14,Cash on Delivery,Completed,680.21,0.0
O001711,C04641,2026-02-08,Net Banking,Completed,2688.95,0.0
O006949,C04447,2026-02-15,UPI,Completed,0.0,0.0
O020586,C03360,2026-07-18,,Completed,425.5,0.0
O005954,C01236,2026-05-22,UPI,Completed,1626.59,0.0
O008545,C03723,2026-02-12,Net Banking,Cancelled,0.0,0.0
O024915,C00954,2026-07-23,Credit Card,Completed,0.0,0.0
O014859,C03362,2026-07-24,Net Banking,Completed,0.0,0.0
O007199,C04710,2026-05-23,UPI,Completed,838.91,0.0
O025125,C03466,2026-02-15,Debit Card,Completed,0.0,0.0
O001289,C02073,2025-02-23,UPI,Completed,224.17,0.0
O006605,C04588,2025-11-26,UPI,Completed,0.0,0.0
O023998,C01907,2025-05-04,UPI,Completed,1828.88,0.0
O003185,C03345,2025-11-24,Net Banking,Completed,134.86,0.0
O017403,C01270,2026-07-07,Net Banking,Completed,502.1,0.0
O026416,C04091,2025-12-23,UPI,Completed,0.0,0.0
O004105,C04748,2026-08-04,UPI,Completed,0.0,0.0
O007440,C00171,2026-07-09,Cash on Delivery,Completed,64.01,0.0
O000734,C00298,2026-08-04,Debit Card,Completed,0.0,0.0
O000853,C04184,2025-10-05,,Returned,0.0,0.0
O004640,C02146,2025-12-09,Debit Card,Completed,326.96,0.0
O015886,C01287,2026-05-19,Net Banking,Completed,626.53,0.0
O019971,C02633,2026-01-08,UPI,Completed,0.0,0.0
O013577,C00283,2026-02-20,UPI,Completed,431.91,0.0
O018609,C02796,2025-05-22,Debit Card,Completed,306.41,0.0
O018141,C01577,2026-01-23,Debit Card,Completed,945.15,0.0
O010445,C01477,2025-11-25,Net Banking,Completed,0.0,0.0
O011545,C04551,2026-03-03,Net Banking,Cancelled,665.49,0.0
O024421,C00010,2026-06-12,Net Banking,Completed,0.0,0.0
O011451,C04122,2025-07-23,Credit Card,Completed,0.0,0.0
O003508,C00239,2026-01-22,UPI,Completed,347.53,0.0
O014661,C00690,2026-08-25,Credit Card,Completed,0.0,0.0
O021587,C01388,2026-08-25,Cash on Delivery,Completed,809.03,0.0
O015777,C02426,2026-04-08,UPI,Completed,0.0,0.0
O003223,C01145,2026-06-14,,Completed,0.0,0.0
O019142,C00589,2026-01-23,Cash on Delivery,Completed,0.0,0.0
O022322,C03213,2025-06-25,Credit Card,Completed,43.4,0.0
O004689,C01833,2026-08-25,Credit Card,Cancelled,60.79,0.0
O006053,C01062,2025-11-14,Debit Card,Returned,211.26,0.0
O012746,C00638,2026-05-29,Credit Card,Completed,590.13,0.0
O010476,C01264,2025-08-21,Debit Card,Cancelled,336.18,0.0
O011538,C04352,2026-05-02,UPI,Completed,0.0,0.0
O013905,C00370,2026-03-29,Net Banking,Completed,0.0,0.0
O008674,C02304,2026-02-10,Credit Card,Completed,0.0,0.0
O013737,C00780,2026-04-30,UPI,Returned,0.0,0.0
O021547,C04716,2026-04-18,Net Banking,Completed,0.0,0.0
O005664,C03629,2026-04-16,UPI,Completed,0.0,0.0
O016320,C03859,2026-01-10,UPI,Completed,565.37,0.0
O011688,C03893,2026-01-17,Debit Card,Pending,206.42,0.0
O000007,C04872,2025-08-31,Credit Card,Cancelled,364.89,0.0
O002725,C00878,2025-05-14,Credit Card,Cancelled,618.98,0.0
O022201,C01395,2026-01-22,Debit Card,Completed,0.0,0.0
O023635,C02473,2026-02-22,UPI,Cancelled,0.0,0.0
O025378,C04593,2026-05-06,Debit Card,Completed,0.0,0.0
O015132,C02454,2026-06-04,Debit Card,Cancelled,481.2,0.0
O001104,C01352,2025-06-22,UPI,Completed,0.0,0.0
O024471,C03776,2025-04-03,Debit Card,Completed,0.0,0.0
O024352,C01634,2026-02-27,UPI,Completed,327.36,0.0
O015737,C03075,2025-11-27,UPI,Pending,627.31,0.0
O009290,C01557,2025-02-19,UPI,Cancelled,1119.74,0.0
O011559,C03371,2026-01-19,UPI,Completed,0.0,0.0
O013560,C01431,2025-01-16,Debit Card,Completed,1120.51,0.0
O005082,C01601,2026-07-18,Credit Card,Completed,777.26,0.0
O008649,C03023,2026-03-23,Credit Card,Completed,0.0,0.0
O023845,C03645,2025-11-08,Cash on Delivery,Pending,0.0,0.0
O021605,C03298,2025-06-25,Debit Card,Completed,2153.65,0.0
O013890,C01883,2025-03-21,UPI,Cancelled,0.0,0.0
O005721,C02575,2025-10-29,Credit Card,Completed,0.0,0.0
O015878,C03789,2026-06-21,UPI,Completed,1105.01,0.0
O026868,C04966,2026-06-08,Credit Card,Cancelled,172.56,0.0
O020581,C00711,2026-05-07,Cash on Delivery,Completed,0.0,0.0
O022493,C04408,2026-07-01,Cash on Delivery,Completed,112.4,0.0
O022630,C03031,2025-08-16,UPI,Completed,172.07,0.0
O024167,C01253,2025-06-11,UPI,Completed,558.51,0.0
O010322,C03086,2026-03-05,UPI,Completed,1831.85,0.0
O016412,C01668,2026-04-16,UPI,Completed,0.0,0.0
O013406,C03131,2025-12-16,UPI,Completed,0.0,0.0
O013012,C01837,2026-05-11,UPI,Completed,0.0,0.0
O024332,C00385,2026-01-31,Credit Card,Completed,0.0,0.0
O023914,C04157,2025-12-29,Credit Card,Completed,367.08,0.0
O022675,C03368,2025-10-05,UPI,Completed,0.0,0.0
O021943,C03301,2026-03-08,Credit Card,Completed,289.53,0.0
O010343,C03685,2026-02-24,UPI,Completed,0.0,0.0
O012860,C02098,2025-06-07,UPI,Completed,263.51,0.0
O026750,C03305,2025-12-30,Cash on Delivery,Cancelled,958.06,0.0
O019775,C03402,2026-05-01,Credit Card,Completed,0.0,0.0
O024169,C01253,2025-10-02,UPI,Completed,847.42,0.0
O017669,C00312,2026-03-16,UPI,Completed,842.78,0.0
O022709,C03877,2025-11-06,UPI,Completed,0.0,0.0
O003422,C04579,2026-02-25,UPI,Completed,0.0,0.0
O022157,C01137,2026-06-02,Net Banking,Completed,992.64,0.0
O024733,C00895,2026-06-21,UPI,Completed,0.0,0.0
O008880,C03947,2026-08-13,UPI,Completed,718.03,0.0
O019926,C04248,2025-12-05,Credit Card,Completed,1153.78,0.0
O016025,C00051,2026-03-24,Debit Card,Completed,0.0,0.0
O001685,C01887,2025-07-18,Debit Card,Completed,400.3,0.0
O023219,C03531,2025-07-12,Credit Card,Completed,1351.64,0.0
O009998,C01462,2026-07-11,UPI,Completed,391.13,0.0
O000506,C01579,2026-01-17,UPI,Completed,1505.25,0.0
O005706,C03795,2026-08-25,UPI,Completed,0.0,0.0
O010880,C04617,2026-08-27,Credit Card,Cancelled,183.17,0.0
O006211,C04097,2026-03-27,Debit Card,Returned,0.0,0.0
O018509,C00792,2025-10-05,Cash on Delivery,Cancelled,407.68,0.0
O011067,C02751,2026-07-04,Net Banking,Completed,0.0,0.0
O024285,C02725,2026-04-08,Credit Card,Cancelled,131.08,0.0
O023946,C04351,2026-06-13,Credit Card,Returned,368.23,0.0
O024430,C01582,2025-12-31,UPI,Completed,0.0,0.0
O023688,C03284,2026-04-25,UPI,Completed,204.17,0.0
O026308,C02962,2026-01-03,UPI,Completed,0.0,0.0
O006825,C03661,2025-04-23,UPI,Completed,570.59,0.0
O002343,C01345,2026-03-21,Debit Card,Completed,1410.21,0.0
O012540,C04168,2025-10-09,UPI,Completed,1128.81,0.0
O020717,C01521,2026-02-14,,Pending,268.86,0.0
O013675,C04053,2025-12-29,Cash on Delivery,Completed,0.0,0.0
O019058,C03780,2026-08-04,UPI,Completed,0.0,0.0
O010821,C03806,2025-09-23,UPI,Completed,0.0,0.0
O022311,C02263,2026-03-28,Net Banking,Cancelled,2028.54,0.0
O021030,C03384,2025-09-24,Debit Card,Completed,0.0,0.0
O007987,C00577,2025-10-27,UPI,Completed,0.0,0.0
O015674,C00330,2026-03-22,UPI,Completed,668.23,0.0
O009044,C01018,2026-07-06,Credit Card,Completed,411.18,0.0
O016872,C04537,2026-02-22,,Returned,0.0,0.0
O009104,C00267,2026-03-19,Credit Card,Completed,781.08,0.0
O020908,C00154,2026-03-02,UPI,Completed,0.0,0.0
O020423,C01122,2025-02-20,Credit Card,Completed,1451.96,0.0
O018743,C02995,2025-06-17,UPI,Completed,308.91,0.0
O013582,C00283,2026-03-01,UPI,Completed,738.1,0.0
O019136,C02013,2026-05-28,UPI,Completed,1346.36,0.0
O020759,C02865,2026-04-24,Debit Card,Pending,0.0,0.0
O010514,C01644,2026-05-20,Net Banking,Completed,425.3,0.0
O007469,C03457,2025-12-13,UPI,Completed,0.0,0.0
O005639,C04288,2026-07-22,UPI,Completed,129.66,0.0
O026581,C02932,2026-03-19,Debit Card,Cancelled,0.0,0.0
O001088,C04657,2026-05-24,Debit Card,Returned,103.58,0.0
O019497,C00170,2026-08-19,Credit Card,Completed,0.0,0.0
O021443,C00442,2025-11-26,Net Banking,Completed,0.0,0.0
O019287,C03240,2026-07-12,UPI,Completed,0.0,0.0
O023691,C03597,2026-03-18,Debit Card,Cancelled,0.0,0.0
O025018,C00396,2026-01-26,UPI,Completed,0.0,0.0
O012352,C02690,2025-03-13,UPI,Completed,0.0,0.0
O021750,C03696,2026-01-14,Credit Card,Completed,0.0,49.0
