customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
C00152,25,3,10295.0,5,2,2,9,Potential Loyalists
C00153,36,2,4116.0,4,2,1,7,Potential Loyalists
C00154,172,7,22128.0,2,4,3,9,At Risk
C00155,37,4,25239.0,4,3,4,11,Loyal Customers
C00156,66,2,33156.0,3,2,4,9,Lost
C00157,103,1,7267.0,3,1,2,6,Lost
C00158,197,1,2225.0,2,1,1,4,Lost
C00159,104,4,32767.0,3,3,4,10,Loyal Customers
C00160,404,1,4276.0,1,1,1,3,Lost
C00161,67,1,329.0,3,1,1,5,Lost
C00162,397,1,6146.0,1,1,1,3,Lost
C00163,374,6,60502.0,1,4,5,10,At Risk
C00164,61,17,67755.0,3,5,5,13,Loyal Customers
C00165,41,8,33155.0,4,4,4,12,Champions
C00166,39,5,59707.0,4,3,5,12,Loyal Customers
C00167,44,2,19734.0,4,2,3,9,Potential Loyalists
C00168,91,13,147439.0,3,5,5,13,Loyal Customers
C00169,1,9,63972.0,5,5,5,15,Champions
C00170,12,7,25685.0,5,4,4,13,Champions
C00171,53,7,18776.0,4,4,3,11,Loyal Customers
C00172,142,5,14043.0,2,3,3,8,At Risk
C00173,47,1,5807.0,4,1,1,6,Potential Loyalists
C00174,74,4,9474.0,3,3,2,8,Loyal Customers
C00175,18,8,35026.0,5,4,4,13,Champions
C00176,31,1,8926.0,4,1,2,7,Potential Loyalists
C00177,121,2,19871.0,2,2,3,7,Lost
C00178,312,5,15161.0,1,4,3,8,At Risk
C00179,59,4,24360.0,3,3,4,10,Loyal Customers
C00180,42,6,21503.0,4,4,3,11,Loyal Customers
C00181,247,1,4168.0,1,1,1,3,Lost
C00182,412,1,10736.0,1,1,2,4,Lost
C00183,250,2,31593.0,1,2,4,7,Lost
C00184,176,5,32262.0,2,4,4,10,At Risk
C00185,132,10,45464.0,2,5,5,12,At Risk
C00186,185,3,19729.0,2,2,3,7,Lost
C00187,42,3,25039.0,4,2,4,10,Potential Loyalists
C00188,420,1,6616.0,1,1,2,4,Lost
C00189,245,5,18752.0,1,4,3,8,At Risk
C00190,0,7,16200.0,5,4,3,12,Loyal Customers
C00191,33,5,17083.0,4,4,3,11,Loyal Customers
C00192,157,11,72453.0,2,5,5,12,At Risk
C00193,27,8,35634.0,5,4,4,13,Champions
C00194,190,6,33782.0,2,4,4,10,At Risk
C00195,102,12,54078.0,3,5,5,13,Loyal Customers
C00196,157,2,9367.0,2,2,2,6,Lost
C00197,185,3,9166.0,2,2,2,6,Lost
C00198,159,5,31214.0,2,4,4,10,At Risk
C00199,209,4,10712.0,2,3,2,7,At Risk
C00201,363,8,98104.0,1,4,5,10,At Risk
C00202,11,2,8736.0,5,2,2,9,Potential Loyalists
C00203,18,1,7086.0,5,1,2,8,Potential Loyalists
C00204,492,7,34527.0,1,4,4,9,At Risk
C00205,27,7,33354.0,5,4,4,13,Champions
C00206,42,1,8618.0,4,1,2,7,Potential Loyalists
C00207,1,6,20929.0,5,4,3,12,Loyal Customers
C00208,156,3,17932.0,2,2,3,7,Lost
C00209,3,2,22851.0,5,2,3,10,Potential Loyalists
C00210,4,1,3038.0,5,1,1,7,Potential Loyalists
C00211,25,3,11544.0,5,2,2,9,Potential Loyalists
C00212,10,1,1829.0,5,1,1,7,Potential Loyalists
C00213,132,6,42138.0,2,4,5,11,At Risk
C00214,55,8,26128.0,3,4,4,11,Loyal Customers
C00215,27,3,15140.0,5,2,3,10,Potential Loyalists
C00216,164,13,51894.0,2,5,5,12,At Risk
C00217,136,13,104520.0,2,5,5,12,At Risk
C00218,53,11,166817.0,4,5,5,14,Champions
C00219,287,2,6368.0,1,2,1,4,Lost
C00220,5,11,28002.0,5,5,4,14,Champions
C00221,186,2,7955.0,2,2,2,6,Lost
C00222,54,13,37030.0,4,5,4,13,Champions
C00223,359,7,53740.0,1,4,5,10,At Risk
C00224,59,3,11655.0,3,2,2,7,Lost
C00225,265,4,19963.0,1,3,3,7,At Risk
C00226,92,6,23418.0,3,4,4,11,Loyal Customers
C00227,63,2,18029.0,3,2,3,8,Lost
C00228,17,1,7717.0,5,1,2,8,Potential Loyalists
C00229,22,13,141552.0,5,5,5,15,Champions
C00230,42,3,9586.0,4,2,2,8,Potential Loyalists
C00232,16,2,9417.0,5,2,2,9,Potential Loyalists
C00233,304,4,10334.0,1,3,2,6,At Risk
C00234,330,2,29554.0,1,2,4,7,Lost
C00235,162,4,17401.0,2,3,3,8,At Risk
C00236,34,7,84958.0,4,4,5,13,Champions
C00237,311,7,25727.0,1,4,4,9,At Risk
C00238,24,4,16314.0,5,3,3,11,Loyal Customers
C00239,49,3,18411.0,4,2,3,9,Potential Loyalists
C00240,10,3,10953.0,5,2,2,9,Potential Loyalists
C00241,25,17,67007.0,5,5,5,15,Champions
C00242,349,3,14878.0,1,2,3,6,Lost
C00243,17,1,3489.0,5,1,1,7,Potential Loyalists
C00244,255,3,11414.0,1,2,2,5,Lost
C00245,528,4,19133.0,1,3,3,7,At Risk
C00246,175,4,12163.0,2,3,2,7,At Risk
C00247,44,1,5188.0,4,1,1,6,Potential Loyalists
C00248,35,4,13712.0,4,3,3,10,Loyal Customers
C00249,221,7,35263.0,1,4,4,9,At Risk
C00250,4,4,27586.0,5,3,4,12,Loyal Customers
C00251,164,5,12321.0,2,4,2,8,At Risk
C00252,559,4,37634.0,1,3,4,8,At Risk
C00253,60,3,27319.0,3,2,4,9,Lost
C00254,44,8,39505.0,4,4,4,12,Champions
C00255,169,3,17648.0,2,2,3,7,Lost
C00256,151,1,2908.0,2,1,1,4,Lost
C00257,9,11,33403.0,5,5,4,14,Champions
C00258,158,2,11642.0,2,2,2,6,Lost
C00259,151,9,69077.0,2,5,5,12,At Risk
C00260,29,9,103651.0,4,5,5,14,Champions
C00261,123,7,46076.0,2,4,5,11,At Risk
C00262,32,3,25057.0,4,2,4,10,Potential Loyalists
C00263,45,3,11684.0,4,2,2,8,Potential Loyalists
C00264,30,1,6628.0,4,1,2,7,Potential Loyalists
C00265,112,14,47595.0,3,5,5,13,Loyal Customers
C00266,59,16,65072.0,3,5,5,13,Loyal Customers
C00267,73,7,45297.0,3,4,5,12,Loyal Customers
C00269,12,5,17020.0,5,4,3,12,Loyal Customers
C00270,23,1,3389.0,5,1,1,7,Potential Loyalists
C00271,78,1,14072.0,3,1,3,7,Lost
C00272,7,4,12014.0,5,3,2,10,Loyal Customers
C00273,135,1,16981.0,2,1,3,6,Lost
C00274,51,7,41609.0,4,4,4,12,Champions
C00275,515,8,36856.0,1,4,4,9,At Risk
C00276,16,3,11306.0,5,2,2,9,Potential Loyalists
C00277,59,9,70568.0,3,5,5,13,Loyal Customers
C00278,540,1,2458.0,1,1,1,3,Lost
C00279,251,1,7267.0,1,1,2,4,Lost
C00280,514,4,11464.0,1,3,2,6,At Risk
C00281,58,1,2648.0,3,1,1,5,Lost
C00282,8,2,14531.0,5,2,3,10,Potential Loyalists
C00283,181,9,60039.0,2,5,5,12,At Risk
C00284,43,4,4056.0,4,3,1,8,Loyal Customers
C00285,198,1,4907.0,2,1,1,4,Lost
C00286,75,3,9224.0,3,2,2,7,Lost
C00287,81,5,9242.0,3,4,2,9,Loyal Customers
C00288,331,2,10433.0,1,2,2,5,Lost
C00289,88,7,48997.0,3,4,5,12,Loyal Customers
C00290,281,1,8365.0,1,1,2,4,Lost
C00291,132,14,51045.0,2,5,5,12,At Risk
C00292,167,17,39343.0,2,5,4,11,At Risk
C00293,50,2,6318.0,4,2,1,7,Potential Loyalists
C00294,113,2,11145.0,3,2,2,7,Lost
C00295,211,15,49781.0,1,5,5,11,At Risk
C00296,135,2,41606.0,2,2,4,8,Lost
C00297,56,8,40276.0,3,4,4,11,Loyal Customers
C00298,27,5,15392.0,5,4,3,12,Loyal Customers
C00299,188,7,18170.0,2,4,3,9,At Risk
C00300,138,1,719.0,2,1,1,4,Lost
C00301,132,7,32137.0,2,4,4,10,At Risk
C00302,44,14,108517.0,4,5,5,14,Champions
C00303,13,4,5774.0,5,3,1,9,Loyal Customers
C00304,123,12,78549.0,2,5,5,12,At Risk
C00305,39,4,13304.0,4,3,3,10,Loyal Customers
C00306,223,4,23004.0,1,3,4,8,At Risk
C00307,56,1,14325.0,3,1,3,7,Lost
C00308,96,2,8106.0,3,2,2,7,Lost
C00309,17,1,3489.0,5,1,1,7,Potential Loyalists
C00310,28,2,14661.0,4,2,3,9,Potential Loyalists
C00311,75,1,8917.0,3,1,2,6,Lost
C00312,168,9,54959.0,2,5,5,12,At Risk
C00313,21,6,36678.0,5,4,4,13,Champions
C00314,126,11,65639.0,2,5,5,12,At Risk
C00315,20,1,17034.0,5,1,3,9,Potential Loyalists
C00316,58,4,26125.0,3,3,4,10,Loyal Customers
C00317,0,8,23807.0,5,4,4,13,Champions
C00318,148,2,7637.0,2,2,2,6,Lost
C00319,44,3,7705.0,4,2,2,8,Potential Loyalists
C00320,106,3,6794.0,3,2,2,7,Lost
C00321,24,4,11913.0,5,3,2,10,Loyal Customers
C00322,12,4,10323.0,5,3,2,10,Loyal Customers
C00323,357,2,5335.0,1,2,1,4,Lost
C00324,1,1,6536.0,5,1,2,8,Potential Loyalists
C00325,188,2,28520.0,2,2,4,8,Lost
C00326,67,5,35331.0,3,4,4,11,Loyal Customers
C00327,433,2,15085.0,1,2,3,6,Lost
C00328,115,10,34410.0,3,5,4,12,Loyal Customers
C00329,54,3,12294.0,4,2,2,8,Potential Loyalists
C00330,160,2,16363.0,2,2,3,7,Lost
C00331,166,8,56995.0,2,4,5,11,At Risk
C00332,413,13,188554.0,1,5,5,11,At Risk
C00333,44,7,20938.0,4,4,3,11,Loyal Customers
C00334,37,4,10982.0,4,3,2,9,Loyal Customers
C00335,11,4,37304.0,5,3,4,12,Loyal Customers
C00336,7,8,42963.0,5,4,5,14,Champions
C00337,1,12,52697.0,5,5,5,15,Champions
C00338,177,2,21049.0,2,2,3,7,Lost
C00339,426,6,46504.0,1,4,5,10,At Risk
C00340,99,6,15061.0,3,4,3,10,Loyal Customers
C00341,127,2,13945.0,2,2,3,7,Lost
C00342,54,15,104829.0,4,5,5,14,Champions
C00343,83,4,10851.0,3,3,2,8,Loyal Customers
C00344,402,5,26781.0,1,4,4,9,At Risk
C00345,436,6,24457.0,1,4,4,9,At Risk
C00346,162,9,24905.0,2,5,4,11,At Risk
C00347,183,8,31746.0,2,4,4,10,At Risk
C00348,164,3,12531.0,2,2,2,6,Lost
C00349,100,1,16743.0,3,1,3,7,Lost
C00350,9,3,11553.0,5,2,2,9,Potential Loyalists
C00351,16,4,64278.0,5,3,5,13,Loyal Customers
C00352,52,1,1249.0,4,1,1,6,Potential Loyalists
C00353,175,3,24339.0,2,2,4,8,Lost
C00354,193,2,15681.0,2,2,3,7,Lost
C00355,312,4,14114.0,1,3,3,7,At Risk
C00356,2,4,28744.0,5,3,4,12,Loyal Customers
C00357,51,16,50631.0,4,5,5,14,Champions
C00358,77,15,37455.0,3,5,4,12,Loyal Customers
C00359,91,14,44343.0,3,5,5,13,Loyal Customers
C00360,272,6,55965.0,1,4,5,10,At Risk
C00362,51,2,15802.0,4,2,3,9,Potential Loyalists
C00363,45,7,19790.0,4,4,3,11,Loyal Customers
C00364,111,4,16734.0,3,3,3,9,Loyal Customers
C00365,417,17,57276.0,1,5,5,11,At Risk
C00366,44,1,2838.0,4,1,1,6,Potential Loyalists
C00367,49,4,14662.0,4,3,3,10,Loyal Customers
C00368,154,5,10233.0,2,4,2,8,At Risk
C00369,37,2,12511.0,4,2,2,8,Potential Loyalists
C00370,86,11,42552.0,3,5,5,13,Loyal Customers
C00371,259,8,81483.0,1,4,5,10,At Risk
C00372,16,8,36413.0,5,4,4,13,Champions
C00373,458,1,8786.0,1,1,2,4,Lost
C00374,409,1,4367.0,1,1,1,3,Lost
C00375,290,1,22880.0,1,1,4,6,Lost
C00376,10,2,5048.0,5,2,1,8,Potential Loyalists
C00377,252,8,43070.0,1,4,5,10,At Risk
C00378,55,2,9205.0,3,2,2,7,Lost
C00379,134,1,8436.0,2,1,2,5,Lost
C00380,44,3,9115.0,4,2,2,8,Potential Loyalists
C00381,46,3,17751.0,4,2,3,9,Potential Loyalists
C00382,178,2,6606.0,2,2,2,6,Lost
C00383,103,3,24449.0,3,2,4,9,Lost
C00384,10,7,63299.0,5,4,5,14,Champions
C00385,159,16,148699.0,2,5,5,12,At Risk
C00386,232,5,24235.0,1,4,4,9,At Risk
C00387,16,10,41178.0,5,5,4,14,Champions
C00388,53,3,44851.0,4,2,5,11,Potential Loyalists
C00389,99,3,11056.0,3,2,2,7,Lost
C00390,3,1,838.0,5,1,1,7,Potential Loyalists
C00391,410,1,2858.0,1,1,1,3,Lost
C00392,117,1,5767.0,2,1,1,4,Lost
C00393,136,2,2078.0,2,2,1,5,Lost
C00394,14,12,49784.0,5,5,5,15,Champions
C00395,56,4,11344.0,3,3,2,8,Loyal Customers
C00396,31,12,143567.0,4,5,5,14,Champions
C00397,155,3,14114.0,2,2,3,7,Lost
C00398,369,10,171712.0,1,5,5,11,At Risk
C00399,59,4,12095.0,3,3,2,8,Loyal Customers
C00400,59,5,20201.0,3,4,3,10,Loyal Customers
C00401,52,5,22229.0,4,4,3,11,Loyal Customers
C00403,452,2,6612.0,1,2,2,5,Lost
C00404,215,1,12845.0,1,1,2,4,Lost
C00405,15,9,38305.0,5,5,4,14,Champions
C00406,12,3,10314.0,5,2,2,9,Potential Loyalists
C00407,44,13,46268.0,4,5,5,14,Champions
C00408,69,6,16721.0,3,4,3,10,Loyal Customers
C00409,280,1,5687.0,1,1,1,3,Lost
C00410,74,1,2439.0,3,1,1,5,Lost
C00411,113,1,1109.0,3,1,1,5,Lost
C00412,7,4,7155.0,5,3,2,10,Loyal Customers
C00413,130,2,22696.0,2,2,3,7,Lost
C00414,71,10,31885.0,3,5,4,12,Loyal Customers
C00415,268,1,5868.0,1,1,1,3,Lost
C00416,29,5,28177.0,4,4,4,12,Champions
C00417,8,13,28781.0,5,5,4,14,Champions
C00418,67,1,659.0,3,1,1,5,Lost
C00419,521,1,1958.0,1,1,1,3,Lost
C00421,51,14,55342.0,4,5,5,14,Champions
C00422,68,1,2268.0,3,1,1,5,Lost
C00423,7,1,1556.0,5,1,1,7,Potential Loyalists
C00424,17,6,36273.0,5,4,4,13,Champions
C00425,303,6,20579.0,1,4,3,8,At Risk
C00426,161,6,16051.0,2,4,3,9,At Risk
C00427,67,7,9159.0,3,4,2,9,Loyal Customers
C00428,101,1,6926.0,3,1,2,6,Lost
C00429,131,1,2578.0,2,1,1,4,Lost
C00430,70,4,74402.0,3,3,5,11,Loyal Customers
C00431,65,12,96321.0,3,5,5,13,Loyal Customers
C00432,28,12,146067.0,4,5,5,14,Champions
C00433,11,4,10883.0,5,3,2,10,Loyal Customers
C00434,40,3,8016.0,4,2,2,8,Potential Loyalists
C00435,75,3,23351.0,3,2,4,9,Lost
C00436,225,2,16993.0,1,2,3,6,Lost
C00437,158,5,62907.0,2,4,5,11,At Risk
C00438,119,6,15901.0,2,4,3,9,At Risk
C00439,5,5,9504.0,5,4,2,11,Loyal Customers
C00440,99,12,81675.0,3,5,5,13,Loyal Customers
C00441,58,6,17470.0,3,4,3,10,Loyal Customers
C00442,210,6,14600.0,2,4,3,9,At Risk
C00443,14,1,9694.0,5,1,2,8,Potential Loyalists
C00444,122,6,26035.0,2,4,4,10,At Risk
C00445,52,3,38909.0,4,2,4,10,Potential Loyalists
C00446,54,1,2777.0,4,1,1,6,Potential Loyalists
C00447,211,6,20310.0,1,4,3,8,At Risk
C00448,81,4,16723.0,3,3,3,9,Loyal Customers
C00449,74,2,7822.0,3,2,2,7,Lost
C00450,243,2,8427.0,1,2,2,5,Lost
C00451,106,1,20294.0,3,1,3,7,Lost
C00452,91,2,10865.0,3,2,2,7,Lost
C00453,79,13,41199.0,3,5,4,12,Loyal Customers
C00454,261,9,53411.0,1,5,5,11,At Risk
C00455,168,1,6978.0,2,1,2,5,Lost
C00456,2,3,31914.0,5,2,4,11,Potential Loyalists
C00457,23,3,11453.0,5,2,2,9,Potential Loyalists
C00458,69,1,1259.0,3,1,1,5,Lost
C00459,9,16,49813.0,5,5,5,15,Champions
C00460,116,7,60078.0,3,4,5,12,Loyal Customers
C00461,27,1,8767.0,5,1,2,8,Potential Loyalists
C00462,189,7,27317.0,2,4,4,10,At Risk
C00463,376,5,22414.0,1,4,3,8,At Risk
C00464,362,5,49314.0,1,4,5,10,At Risk
C00465,75,1,7237.0,3,1,2,6,Lost
C00466,213,4,13583.0,1,3,3,7,At Risk
C00467,14,1,1429.0,5,1,1,7,Potential Loyalists
C00468,69,1,21660.0,3,1,3,7,Lost
C00469,247,8,21446.0,1,4,3,8,At Risk
C00470,286,8,21778.0,1,4,3,8,At Risk
C00471,53,8,95833.0,4,4,5,13,Champions
C00473,160,4,7574.0,2,3,2,7,At Risk
C00474,217,2,16413.0,1,2,3,6,Lost
C00475,20,5,47191.0,5,4,5,14,Champions
C00476,122,4,25395.0,2,3,4,9,At Risk
C00477,164,5,17603.0,2,4,3,9,At Risk
C00478,12,10,45291.0,5,5,5,15,Champions
C00479,103,9,31564.0,3,5,4,12,Loyal Customers
C00480,51,4,32654.0,4,3,4,11,Loyal Customers
C00481,226,2,13402.0,1,2,3,6,Lost
C00482,172,4,46361.0,2,3,5,10,At Risk
C00483,310,14,49979.0,1,5,5,11,At Risk
C00484,44,8,18396.0,4,4,3,11,Loyal Customers
C00485,97,16,104596.0,3,5,5,13,Loyal Customers
C00486,43,4,13972.0,4,3,3,10,Loyal Customers
C00487,349,7,26899.0,1,4,4,9,At Risk
C00488,260,8,109640.0,1,4,5,10,At Risk
C00489,49,5,26186.0,4,4,4,12,Champions
C00490,113,1,2258.0,3,1,1,5,Lost
C00491,26,7,16829.0,5,4,3,12,Loyal Customers
C00492,72,10,78108.0,3,5,5,13,Loyal Customers
C00493,105,3,6317.0,3,2,1,6,Lost
C00494,18,11,39630.0,5,5,4,14,Champions
C00495,85,1,279.0,3,1,1,5,Lost
C00496,184,1,1528.0,2,1,1,4,Lost
C00497,544,2,15442.0,1,2,3,6,Lost
C00498,11,1,1377.0,5,1,1,7,Potential Loyalists
C00499,48,10,130273.0,4,5,5,14,Champions
C00500,129,4,20653.0,2,3,3,8,At Risk
C00501,247,3,19590.0,1,2,3,6,Lost
C00502,36,4,50527.0,4,3,5,12,Loyal Customers
C00503,373,7,35890.0,1,4,4,9,At Risk
C00504,48,8,21528.0,4,4,3,11,Loyal Customers
C00505,116,1,5627.0,3,1,1,5,Lost
C00506,204,4,7645.0,2,3,2,7,At Risk
C00507,213,2,12902.0,1,2,2,5,Lost
C00508,183,1,5817.0,2,1,1,4,Lost
C00509,139,1,6016.0,2,1,1,4,Lost
C00510,8,4,52585.0,5,3,5,13,Loyal Customers
C00511,50,4,9646.0,4,3,2,9,Loyal Customers
C00512,294,7,103276.0,1,4,5,10,At Risk
C00513,25,16,61952.0,5,5,5,15,Champions
C00514,38,9,26782.0,4,5,4,13,Champions
C00515,480,1,1128.0,1,1,1,3,Lost
C00516,289,12,131939.0,1,5,5,11,At Risk
C00517,151,10,42460.0,2,5,5,12,At Risk
C00518,46,10,49709.0,4,5,5,14,Champions
C00519,56,1,4317.0,3,1,1,5,Lost
C00520,220,4,18102.0,1,3,3,7,At Risk
C00521,34,11,36510.0,4,5,4,13,Champions
C00522,26,5,36762.0,5,4,4,13,Champions
C00523,78,6,14120.0,3,4,3,10,Loyal Customers
C00524,28,4,13033.0,4,3,3,10,Loyal Customers
C00525,51,11,85945.0,4,5,5,14,Champions
C00526,427,3,11685.0,1,2,2,5,Lost
C00527,150,4,8394.0,2,3,2,7,At Risk
C00528,19,1,2498.0,5,1,1,7,Potential Loyalists
C00529,254,4,21484.0,1,3,3,7,At Risk
C00530,1,1,549.0,5,1,1,7,Potential Loyalists
C00531,42,7,22256.0,4,4,3,11,Loyal Customers
