customer_id,signup_date,gender,age,city,state,acquisition_channel,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
C02112,2026-01-26,Male,18.0,Delhi,Delhi,Paid Ads,190.0,1.0,6944.0,2,1,2,5.0,Lost
C04813,2026-03-07,Male,45.0,Gurugram,Haryana,Organic Search,45.0,4.0,17263.0,4,3,3,10.0,Loyal Customers
C02810,2025-11-07,Male,20.0,Patna,Unknown,Referral,250.0,7.0,23369.0,1,4,4,9.0,At Risk
C02102,2026-07-29,Male,23.0,Lucknow,Uttar Pradesh,Organic Search,155.0,1.0,4738.0,2,1,1,4.0,Lost
C01011,2026-04-29,Female,19.0,Kochi,Kerala,Referral,49.0,8.0,32626.0,4,5,4,13.0,Champions
C04291,2026-04-22,Female,28.0,Udaipur,Rajasthan,Referral,118.0,5.0,15532.0,2,4,3,9.0,At Risk
C00545,2024-12-29,Female,46.0,Chandigarh,Chandigarh,Organic Search,21.0,18.0,122985.0,5,5,5,15.0,Champions
C01742,2024-09-13,Female,38.0,Kanpur,Uttar Pradesh,Paid Ads,3.0,17.0,113444.0,5,5,5,15.0,Champions
C03729,2024-10-24,Female,23.0,Vijayawada,Unknown,Organic Search,337.0,5.0,62076.0,1,4,5,10.0,At Risk
C04814,2024-12-22,Male,36.0,Surat,Gujarat,Organic Search,550.0,15.0,59522.0,1,5,5,11.0,At Risk
C01718,2024-08-07,Male,26.0,Hyderabad,Telangana,Paid Ads,35.0,11.0,37690.0,4,5,4,13.0,Champions
C00995,2025-12-15,Female,40.0,Jaipur,Rajasthan,Paid Ads,106.0,5.0,27461.0,3,4,4,11.0,Loyal Customers
C03984,2025-11-14,Male,39.0,Patna,Bihar,Email,40.0,6.0,25877.0,4,4,4,12.0,Champions
C02797,2026-02-19,Female,25.0,Kanpur,Uttar Pradesh,Paid Ads,188.0,2.0,7307.0,2,2,2,6.0,Lost
C04057,2025-11-04,Male,37.0,Kolkata,West Bengal,Social Media,1.0,1.0,4207.0,5,1,1,7.0,Potential Loyalists
C00024,2025-08-24,Male,31.0,Udaipur,Rajasthan,Social Media,321.0,1.0,6957.0,1,1,2,4.0,Lost
C00950,2026-03-17,Other,37.0,Bhubaneswar,Odisha,Organic Search,5.0,4.0,18962.0,5,3,3,11.0,Loyal Customers
C00241,2026-05-09,Female,31.0,Ranchi,Jharkhand,Organic Search,25.0,17.0,67007.0,5,5,5,15.0,Champions
C01555,2025-12-20,Male,45.0,Bhubaneswar,Odisha,Organic Search,81.0,4.0,8704.0,3,3,2,8.0,Loyal Customers
C01435,2025-10-20,Female,42.0,Surat,Gujarat,Paid Ads,53.0,4.0,32640.0,4,3,4,11.0,Loyal Customers
C01671,2024-10-08,Female,31.0,Noida,Uttar Pradesh,Organic Search,10.0,5.0,13092.0,5,4,3,12.0,Loyal Customers
C00486,2026-01-25,Female,51.0,Kolkata,West Bengal,Referral,43.0,4.0,13972.0,4,3,3,10.0,Loyal Customers
C03428,2025-12-25,Male,23.0,Chandigarh,Chandigarh,Paid Ads,22.0,1.0,1119.0,5,1,1,7.0,Potential Loyalists
C03649,2024-08-23,Female,45.0,Bhopal,Madhya Pradesh,Email,111.0,3.0,19798.0,3,3,3,9.0,Loyal Customers
C04270,2026-01-22,Male,24.0,Udaipur,Rajasthan,Social Media,192.0,2.0,4458.0,2,2,1,5.0,Lost
C00804,2025-09-05,Female,28.0,Bhubaneswar,Odisha,Paid Ads,22.0,1.0,3788.0,5,1,1,7.0,Potential Loyalists
C04772,2025-01-22,Male,31.0,Jaipur,Rajasthan,Paid Ads,57.0,4.0,36514.0,3,3,4,10.0,Loyal Customers
C01740,2026-05-31,Male,26.0,Mumbai,Maharashtra,Social Media,28.0,7.0,21598.0,4,4,3,11.0,Loyal Customers
C03041,2025-06-14,Female,26.0,Faridabad,Haryana,Social Media,93.0,1.0,3037.0,3,1,1,5.0,Lost
C02196,2026-04-22,Other,18.0,Kanpur,Uttar Pradesh,Organic Search,139.0,5.0,47171.0,2,4,5,11.0,At Risk
C00085,2025-02-17,Female,31.0,Bhubaneswar,Odisha,Organic Search,12.0,5.0,55690.0,5,3,5,13.0,Loyal Customers
C02124,2025-05-09,Male,31.0,Gurugram,Haryana,Social Media,158.0,2.0,11335.0,2,2,2,6.0,Lost
C03015,2026-06-03,Female,29.0,Kochi,Kerala,Paid Ads,45.0,2.0,15348.0,4,2,3,9.0,Potential Loyalists
C02534,2025-10-26,Male,30.0,Bengaluru,Karnataka,Organic Search,58.0,1.0,14672.0,3,1,3,7.0,Lost
C01872,2025-05-01,Female,36.0,Nagpur,Maharashtra,Referral,21.0,4.0,33184.0,5,3,4,12.0,Loyal Customers
C00107,2025-04-18,Male,31.0,Indore,Madhya Pradesh,Organic Search,4.0,4.0,39267.0,5,3,4,12.0,Loyal Customers
C04638,2026-03-22,Other,22.0,Bengaluru,Karnataka,Organic Search,98.0,1.0,14701.0,3,2,3,8.0,Lost
C04866,2025-10-05,Female,40.0,Coimbatore,Tamil Nadu,Social Media,35.0,1.0,309.0,4,2,1,7.0,Potential Loyalists
C01579,2025-10-24,Male,38.0,Visakhapatnam,Andhra Pradesh,Email,4.0,17.0,217363.0,5,5,5,15.0,Champions
C00200,2026-02-09,Female,31.0,Kochi,Kerala,Social Media,,,,,,,,No Completed Purchase
C04957,2026-01-02,Female,26.0,Faridabad,Haryana,Organic Search,0.0,4.0,8554.0,5,3,2,10.0,Loyal Customers
C03064,2024-12-22,Female,23.0,Guwahati,Assam,Organic Search,587.0,15.0,47970.0,1,5,5,11.0,At Risk
C04953,2026-01-20,Male,33.0,Kanpur,Uttar Pradesh,Organic Search,215.0,1.0,938.0,1,2,1,4.0,Lost
C04239,2026-06-29,Female,29.0,Udaipur,Rajasthan,Paid Ads,44.0,7.0,17805.0,4,4,3,11.0,Loyal Customers
C02838,2026-05-20,Female,32.0,Ahmedabad,Gujarat,Social Media,32.0,2.0,8175.0,4,2,2,8.0,Potential Loyalists
C03128,2025-07-31,Female,40.0,Patna,Bihar,Email,231.0,1.0,2468.0,1,1,1,3.0,Lost
C02182,2025-12-17,Female,24.0,Vijayawada,Andhra Pradesh,Paid Ads,235.0,16.0,100787.0,1,5,5,11.0,At Risk
C03412,2026-06-03,Female,27.0,Noida,Uttar Pradesh,Email,,,,,,,,No Completed Purchase
C00882,2025-03-07,Male,18.0,Hyderabad,Telangana,Organic Search,417.0,15.0,60531.0,1,5,5,11.0,At Risk
C04221,2024-10-25,Female,21.0,Ahmedabad,Gujarat,Social Media,263.0,2.0,7055.0,1,2,2,5.0,Lost
C04568,2025-03-17,Male,19.0,Kochi,Kerala,Social Media,387.0,7.0,38081.0,1,4,4,9.0,At Risk
C04127,2025-05-18,Female,41.0,Hyderabad,Telangana,Organic Search,53.0,4.0,14013.0,4,3,3,10.0,Loyal Customers
C00554,2025-12-19,Female,21.0,Kolkata,West Bengal,Referral,144.0,12.0,50714.0,2,5,5,12.0,At Risk
C00734,2025-08-22,Female,29.0,Thiruvananthapuram,Kerala,Email,325.0,4.0,16943.0,1,3,3,7.0,At Risk
C00180,2025-07-21,Female,31.0,Udaipur,Rajasthan,Social Media,42.0,6.0,21503.0,4,4,3,11.0,Loyal Customers
C00417,2025-12-12,Female,35.0,Gurugram,Haryana,Paid Ads,8.0,13.0,28781.0,5,5,4,14.0,Champions
C00080,2024-10-11,Male,31.0,Ahmedabad,Gujarat,Paid Ads,,,,,,,,No Completed Purchase
C00473,2024-06-22,Female,31.0,Patna,Bihar,Organic Search,160.0,4.0,7574.0,2,3,2,7.0,At Risk
C00671,2024-07-01,Female,29.0,Kochi,Unknown,Referral,31.0,5.0,18632.0,4,4,3,11.0,Loyal Customers
C04906,2025-06-18,Male,18.0,Udaipur,Rajasthan,Email,42.0,5.0,13214.0,4,4,3,11.0,Loyal Customers
C01502,2025-05-29,Male,31.0,Vijayawada,Andhra Pradesh,Paid Ads,379.0,1.0,5298.0,1,1,1,3.0,Lost
C02802,2026-06-08,Male,31.0,Gurugram,Haryana,Organic Search,29.0,4.0,34784.0,4,3,4,11.0,Loyal Customers
C02093,2025-06-07,Female,34.0,Kanpur,Uttar Pradesh,Paid Ads,41.0,1.0,6788.0,4,1,2,7.0,Potential Loyalists
C00249,2025-11-23,Female,31.0,Surat,Gujarat,Organic Search,221.0,7.0,35263.0,1,4,4,9.0,At Risk
C00539,2026-01-14,Female,45.0,Kochi,Kerala,Referral,30.0,10.0,19997.0,4,5,3,12.0,Loyal Customers
C01346,2025-12-10,Female,32.0,Bengaluru,Karnataka,Organic Search,191.0,8.0,57152.0,2,5,5,12.0,At Risk
C04696,2025-07-24,Male,18.0,Visakhapatnam,Andhra Pradesh,Email,361.0,2.0,5584.0,1,2,1,4.0,Lost
C01271,2025-07-14,Female,21.0,Vijayawada,Andhra Pradesh,Paid Ads,368.0,8.0,26518.0,1,5,4,10.0,At Risk
C00229,2024-11-19,Male,31.0,Hyderabad,Telangana,Paid Ads,22.0,13.0,141552.0,5,5,5,15.0,Champions
C00298,2025-02-19,Male,22.0,Pune,Maharashtra,Paid Ads,27.0,5.0,15392.0,5,4,3,12.0,Loyal Customers
C02820,2025-03-02,Female,31.0,Kolkata,West Bengal,Social Media,17.0,1.0,4828.0,5,1,1,7.0,Potential Loyalists
C04160,2025-04-12,Female,36.0,Ahmedabad,Gujarat,Organic Search,172.0,1.0,6075.0,2,1,1,4.0,Lost
C01184,2025-09-26,Male,18.0,Hyderabad,Telangana,Organic Search,107.0,8.0,64680.0,3,5,5,13.0,Loyal Customers
C02060,2024-09-06,Male,35.0,Chennai,Tamil Nadu,Organic Search,27.0,8.0,24537.0,5,5,4,14.0,Champions
C00466,2025-10-31,Male,31.0,Hyderabad,Telangana,Email,213.0,4.0,13583.0,1,3,3,7.0,At Risk
C02990,2026-04-27,Female,24.0,Mysuru,Karnataka,Organic Search,21.0,12.0,142890.0,5,5,5,15.0,Champions
C00506,2025-06-30,Male,24.0,Noida,Uttar Pradesh,Organic Search,204.0,4.0,7645.0,2,3,2,7.0,At Risk
C04078,2026-02-10,Male,47.0,Visakhapatnam,Andhra Pradesh,Paid Ads,47.0,6.0,24179.0,4,4,4,12.0,Champions
C04815,2025-03-31,Female,46.0,Kolkata,West Bengal,Referral,60.0,5.0,14593.0,3,4,3,10.0,Loyal Customers
C02094,2026-04-23,Female,22.0,Udaipur,Rajasthan,Paid Ads,159.0,1.0,4058.0,2,1,1,4.0,Lost
C01670,2025-01-25,Female,31.0,Ahmedabad,Gujarat,Organic Search,59.0,2.0,12691.0,3,2,2,7.0,Lost
C01753,2024-04-12,Female,43.0,Guwahati,Assam,Paid Ads,219.0,1.0,2019.0,1,1,1,3.0,Lost
C04782,2025-10-25,Male,19.0,Chennai,Tamil Nadu,Paid Ads,2.0,1.0,8355.0,5,2,2,9.0,Potential Loyalists
C02654,2026-02-08,Female,31.0,Udaipur,Rajasthan,Organic Search,192.0,2.0,19377.0,2,2,3,7.0,Lost
C00427,2026-04-21,Female,44.0,Hyderabad,Telangana,Social Media,67.0,7.0,9159.0,3,4,2,9.0,Loyal Customers
C01259,2025-12-06,Female,22.0,Noida,Uttar Pradesh,Social Media,14.0,1.0,7438.0,5,1,2,8.0,Potential Loyalists
C01074,2025-02-02,Male,31.0,Mumbai,Maharashtra,Social Media,59.0,10.0,32671.0,3,5,4,12.0,Loyal Customers
C04994,2026-04-23,Male,33.0,Vijayawada,Andhra Pradesh,Organic Search,161.0,1.0,19741.0,2,2,3,7.0,Lost
C03796,2026-01-27,Female,41.0,Jaipur,Rajasthan,Paid Ads,92.0,2.0,7286.0,3,2,2,7.0,Lost
C04742,2025-04-02,Male,27.0,Mysuru,Karnataka,Organic Search,302.0,3.0,9065.0,1,3,2,6.0,At Risk
C00658,2026-06-19,Male,26.0,Chennai,Tamil Nadu,Paid Ads,19.0,1.0,12944.0,5,1,2,8.0,Potential Loyalists
C00394,2026-06-21,Female,31.0,Coimbatore,Tamil Nadu,Organic Search,14.0,12.0,49784.0,5,5,5,15.0,Champions
C03621,2025-08-06,Male,33.0,Jaipur,Rajasthan,Social Media,226.0,3.0,10631.0,1,3,2,6.0,At Risk
C00280,2024-05-04,Female,19.0,Indore,Madhya Pradesh,Social Media,514.0,4.0,11464.0,1,3,2,6.0,At Risk
C04184,2025-09-10,Male,31.0,Bengaluru,Karnataka,Paid Ads,8.0,2.0,21782.0,5,2,3,10.0,Potential Loyalists
C04578,2025-05-22,Female,35.0,Chennai,Tamil Nadu,Organic Search,,,,,,,,No Completed Purchase
C01076,2025-05-25,Female,28.0,Thiruvananthapuram,Kerala,Email,461.0,1.0,4378.0,1,1,1,3.0,Lost
C01136,2025-07-28,Female,36.0,Pune,Maharashtra,Organic Search,,,,,,,,No Completed Purchase
C01589,2026-05-31,Other,25.0,Chennai,Tamil Nadu,Organic Search,118.0,2.0,6925.0,2,2,2,6.0,Lost
C00578,2025-11-11,Male,45.0,Kochi,Kerala,Paid Ads,71.0,3.0,15592.0,3,2,3,8.0,Lost
C02292,2025-10-25,Female,32.0,Mysuru,Karnataka,Paid Ads,57.0,4.0,28028.0,3,3,4,10.0,Loyal Customers
C01053,2025-05-11,Female,31.0,Delhi,Delhi,Paid Ads,,,,,,,,No Completed Purchase
C01091,2026-03-02,Male,31.0,Coimbatore,Tamil Nadu,Social Media,59.0,3.0,14621.0,3,2,3,8.0,Lost
C03102,2025-06-28,Male,38.0,Mumbai,Maharashtra,Referral,36.0,1.0,8786.0,4,1,2,7.0,Potential Loyalists
C01428,2025-12-15,Male,28.0,Udaipur,Rajasthan,Organic Search,205.0,5.0,32993.0,2,4,4,10.0,At Risk
C01050,2025-06-16,Female,23.0,Jaipur,Rajasthan,Social Media,,,,,,,,No Completed Purchase
C04455,2026-03-24,Female,36.0,Jaipur,Rajasthan,Paid Ads,25.0,6.0,86195.0,5,4,5,14.0,Champions
C02519,2025-09-20,Female,41.0,Coimbatore,Tamil Nadu,Paid Ads,49.0,1.0,1109.0,4,1,1,6.0,Potential Loyalists
C03160,2026-06-11,Female,32.0,Nagpur,Maharashtra,Organic Search,,,,,,,,No Completed Purchase
C00009,2026-01-20,Female,31.0,Coimbatore,Tamil Nadu,Organic Search,4.0,1.0,5238.0,5,1,1,7.0,Potential Loyalists
C04163,2026-07-13,Male,46.0,Lucknow,Uttar Pradesh,Organic Search,,,,,,,,No Completed Purchase
C04463,2025-02-27,Male,25.0,Bhopal,Madhya Pradesh,Paid Ads,4.0,17.0,65802.0,5,5,5,15.0,Champions
C04067,2024-06-11,Male,31.0,Chennai,Tamil Nadu,Referral,37.0,2.0,16512.0,4,2,3,9.0,Potential Loyalists
C00145,2026-03-20,Male,31.0,Thiruvananthapuram,Kerala,Social Media,84.0,5.0,21086.0,3,3,3,9.0,Loyal Customers
C01955,2026-02-06,Female,18.0,Nagpur,Maharashtra,Social Media,108.0,1.0,1799.0,3,1,1,5.0,Lost
C00562,2026-05-13,Female,20.0,Bhopal,Madhya Pradesh,Email,151.0,4.0,22127.0,2,3,3,8.0,At Risk
C03018,2025-10-16,Male,41.0,Vijayawada,Andhra Pradesh,Referral,229.0,2.0,4628.0,1,2,1,4.0,Lost
C03784,2026-02-04,Female,26.0,Gurugram,Haryana,Referral,113.0,1.0,10524.0,3,1,2,6.0,Lost
C04762,2026-06-21,Male,31.0,Lucknow,Uttar Pradesh,Referral,125.0,5.0,15740.0,2,4,3,9.0,At Risk
C00152,2025-07-31,Male,31.0,Mumbai,Maharashtra,Organic Search,25.0,3.0,10295.0,5,2,2,9.0,Potential Loyalists
C00423,2026-07-24,Male,30.0,Kochi,Kerala,Paid Ads,7.0,1.0,1556.0,5,1,1,7.0,Potential Loyalists
C01019,2024-10-11,Female,46.0,Bhubaneswar,Odisha,Organic Search,49.0,14.0,49608.0,4,5,5,14.0,Champions
C02707,2024-07-15,Male,45.0,Bengaluru,Karnataka,Paid Ads,43.0,2.0,7854.0,4,2,2,8.0,Potential Loyalists
C03373,2026-06-05,Male,24.0,Vijayawada,Andhra Pradesh,Organic Search,46.0,4.0,19681.0,4,3,3,10.0,Loyal Customers
C01213,2025-04-14,Female,32.0,Mysuru,Karnataka,Paid Ads,171.0,1.0,6118.0,2,1,1,4.0,Lost
C03712,2025-05-22,Female,42.0,Mysuru,Karnataka,Referral,199.0,3.0,11643.0,2,3,2,7.0,At Risk
C00799,2025-12-20,Male,26.0,Chandigarh,Chandigarh,Social Media,173.0,8.0,32205.0,2,5,4,11.0,At Risk
C03568,2026-01-01,Male,27.0,Surat,Gujarat,Paid Ads,198.0,4.0,9006.0,2,3,2,7.0,At Risk
C02715,2025-09-09,Female,42.0,Kochi,Kerala,Paid Ads,,,,,,,,No Completed Purchase
C00415,2025-10-22,Male,25.0,Ahmedabad,Gujarat,Social Media,268.0,1.0,5868.0,1,1,1,3.0,Lost
C02303,2025-08-25,Male,18.0,Ahmedabad,Gujarat,Paid Ads,40.0,1.0,12715.0,4,1,2,7.0,Potential Loyalists
C04733,2026-07-11,Male,44.0,Pune,Maharashtra,Organic Search,35.0,8.0,38786.0,4,5,4,13.0,Champions
C03995,2025-02-07,Male,37.0,Vijayawada,Unknown,Email,57.0,10.0,113058.0,3,5,5,13.0,Loyal Customers
C00625,2025-08-12,Male,32.0,Ahmedabad,Gujarat,Referral,204.0,4.0,13572.0,2,3,3,8.0,At Risk
C01616,2025-11-27,Female,31.0,Bhubaneswar,Odisha,Social Media,23.0,2.0,6236.0,5,2,1,8.0,Potential Loyalists
C00765,2026-02-09,Male,33.0,Thiruvananthapuram,Kerala,Organic Search,31.0,2.0,26825.0,4,2,4,10.0,Potential Loyalists
C02681,2024-02-08,Male,35.0,Thiruvananthapuram,Kerala,Organic Search,53.0,9.0,24785.0,4,5,4,13.0,Champions
C04375,2025-05-07,Male,49.0,Hyderabad,Telangana,Referral,35.0,3.0,13135.0,4,3,3,10.0,Loyal Customers
C03530,2025-10-19,Unknown,46.0,Lucknow,Uttar Pradesh,Paid Ads,32.0,5.0,14732.0,4,4,3,11.0,Loyal Customers
C00812,2026-02-26,Unknown,25.0,Mysuru,Karnataka,Social Media,13.0,2.0,10153.0,5,2,2,9.0,Potential Loyalists
C00101,2024-05-14,Female,22.0,Vijayawada,Andhra Pradesh,Paid Ads,229.0,2.0,9893.0,1,2,2,5.0,Lost
C02823,2024-03-11,Other,28.0,Noida,Uttar Pradesh,Email,33.0,14.0,107567.0,4,5,5,14.0,Champions
C00654,2025-12-13,Male,34.0,Chennai,Tamil Nadu,Paid Ads,44.0,1.0,2948.0,4,1,1,6.0,Potential Loyalists
C00860,2026-04-19,Male,24.0,Vijayawada,Andhra Pradesh,Referral,124.0,11.0,36453.0,2,5,4,11.0,At Risk
C01613,2025-10-09,Female,40.0,Bhubaneswar,Odisha,Paid Ads,44.0,5.0,20901.0,4,4,3,11.0,Loyal Customers
C00764,2026-03-20,Male,31.0,Surat,Gujarat,Paid Ads,49.0,1.0,10044.0,4,1,2,7.0,Potential Loyalists
C00334,2025-11-07,Female,31.0,Ahmedabad,Gujarat,Paid Ads,37.0,4.0,10982.0,4,3,2,9.0,Loyal Customers
C01630,2025-02-12,Male,20.0,Indore,Madhya Pradesh,Organic Search,49.0,1.0,1099.0,4,1,1,6.0,Potential Loyalists
C04657,2026-05-05,Other,35.0,Surat,Gujarat,Social Media,52.0,7.0,37612.0,4,4,4,12.0,Champions
C04340,2026-02-27,Male,22.0,Mysuru,Unknown,Social Media,28.0,1.0,8756.0,4,1,2,7.0,Potential Loyalists
C00228,2024-09-25,Male,31.0,Visakhapatnam,Andhra Pradesh,Paid Ads,17.0,1.0,7717.0,5,1,2,8.0,Potential Loyalists
C01946,2025-10-03,Female,18.0,Guwahati,Assam,Organic Search,329.0,7.0,52357.0,1,4,5,10.0,At Risk
C01352,2024-12-21,Male,29.0,Ranchi,Jharkhand,Social Media,91.0,12.0,77140.0,3,5,5,13.0,Loyal Customers
C04341,2025-04-11,Male,18.0,Chandigarh,Chandigarh,Social Media,73.0,5.0,12374.0,3,4,2,9.0,Loyal Customers
C02697,2025-10-19,Male,31.0,Surat,Gujarat,Referral,43.0,1.0,429.0,4,1,1,6.0,Potential Loyalists
C00766,2026-02-26,Female,33.0,Pune,Maharashtra,Organic Search,40.0,4.0,50104.0,4,3,5,12.0,Loyal Customers
C01974,2025-02-04,Female,31.0,Bhopal,Madhya Pradesh,Paid Ads,34.0,4.0,15273.0,4,3,3,10.0,Loyal Customers
