order_item_id,order_id,product_id,quantity,unit_price,quantity_outlier
OI0043551,O020283,P0003,1,329.0,False
OI0049472,O023124,P0102,2,819.0,False
OI0016324,O007670,P0052,1,549.0,False
OI0030834,O014413,P0095,1,1979.0,False
OI0006391,O003004,P0066,1,1799.0,False
OI0005477,O002551,P0080,1,1109.0,False
OI0006272,O002949,P0013,1,1309.0,False
OI0055126,O025708,P0061,1,3279.0,False
OI0047568,O022299,P0036,2,2009.0,False
OI0006430,O003025,P0048,1,2009.0,False
OI0037735,O017584,P0076,1,3209.0,False
OI0041330,O019301,P0115,1,3599.0,False
OI0002360,O001096,P0097,1,3189.0,False
OI0057733,O026831,P0082,1,2319.0,False
OI0022009,O010326,P0048,1,2009.0,False
OI0055233,O025754,P0057,1,2349.0,False
OI0038475,O017911,P0066,2,1799.0,False
OI0017211,O008103,P0071,2,3389.0,False
OI0035486,O016563,P0052,1,549.0,False
OI0030720,O014364,P0005,1,3129.0,False
OI0045103,O021013,P0099,3,3719.0,False
OI0005502,O002559,P0044,1,3739.0,False
OI0028564,O013368,P0078,1,2479.0,False
OI0013115,O006110,P0114,2,2449.0,False
OI0031504,O014718,P0124,1,1249.0,False
OI0026811,O012564,P0102,2,819.0,False
OI0030085,O014059,P0097,1,3189.0,False
OI0051544,O024066,P0059,2,4089.0,False
OI0001464,O000673,P0066,1,1799.0,False
OI0034979,O016342,P0082,1,2319.0,False
OI0018428,O008642,P0080,1,1109.0,False
OI0054547,O025427,P0105,1,329.0,False
OI0033541,O015638,P0050,1,339.0,False
OI0034467,O016111,P0061,2,3279.0,False
OI0001499,O000694,P0019,1,1249.0,False
OI0038835,O018079,P0115,2,3599.0,False
OI0026430,O012409,P0003,2,329.0,False
OI0057134,O026596,P0057,1,2349.0,False
OI0017397,O008190,P0080,1,1109.0,False
OI0033712,O015725,P0058,1,1699.0,False
OI0011062,O005155,P0099,3,3719.0,False
OI0007202,O003386,P0094,1,1249.0,False
OI0005012,O002345,P0038,1,1099.0,False
OI0024743,O011622,P0115,1,3599.0,False
OI0011941,O005547,P0054,1,2239.0,False
OI0043613,O020311,P0058,1,1699.0,False
OI0048295,O022608,P0080,1,1109.0,False
OI0054144,O025245,P0118,1,1229.0,False
OI0001642,O000753,P0083,1,549.0,False
OI0027942,O013078,P0097,2,3189.0,False
OI0053059,O024753,P0087,1,2149.0,False
OI0026138,O012265,P0078,1,2479.0,False
OI0050753,O023678,P0041,1,3489.0,False
OI0034998,O016348,P0019,2,1249.0,False
OI0053220,O024819,P0129,1,1419.0,False
OI0008531,O004028,P0046,1,659.0,False
OI0038855,O018086,P0042,2,1039.0,False
OI0058303,O027098,P0075,1,429.0,False
OI0026439,O012414,P0115,1,3599.0,False
OI0023223,O010923,P0066,1,1799.0,False
OI0040062,O018664,P0019,1,1249.0,False
OI0013296,O006202,P0073,1,1649.0,False
OI0009632,O004489,P0010,2,1259.0,False
OI0059089,O027462,P0019,1,1249.0,False
OI0048228,O022567,P0125,1,3389.0,False
OI0005334,O002487,P0122,1,2319.0,False
OI0038046,O017724,P0069,2,2179.0,False
OI0013872,O006456,P0065,1,339.0,False
OI0038053,O017728,P0114,1,2449.0,False
OI0021091,O009890,P0051,1,359.0,False
OI0052550,O024530,P0069,1,2179.0,False
OI0038963,O018139,P0097,3,3189.0,False
OI0049513,O023142,P0042,1,1039.0,False
OI0005518,O002564,P0014,2,1249.0,False
OI0017639,O008272,P0067,1,279.0,False
OI0047506,O022273,P0059,1,4089.0,False
OI0001537,O000713,P0024,1,1769.0,False
OI0054671,O025488,P0086,1,1059.0,False
OI0039596,O018434,P0114,1,2449.0,False
OI0052768,O024627,P0019,1,1249.0,False
OI0041658,O019426,P0082,1,2319.0,False
OI0027865,O013052,P0078,1,2479.0,False
OI0007230,O003399,P0019,1,1249.0,False
OI0022268,O010433,P0095,1,1979.0,False
OI0030428,O014227,P0029,1,719.0,False
OI0034279,O016007,P0078,1,2479.0,False
OI0005550,O002577,P0114,2,2449.0,False
OI0034533,O016140,P0048,1,2009.0,False
OI0031597,O014764,P0067,1,279.0,False
OI0030005,O014020,P0102,1,819.0,False
OI0021240,O009957,P0099,1,3719.0,False
OI0049432,O023115,P0095,1,1979.0,False
OI0035563,O016599,P0115,1,3599.0,False
OI0047978,O022472,P0080,1,1109.0,False
OI0049623,O023188,P0099,1,3719.0,False
OI0016188,O007606,P0041,1,3489.0,False
OI0039085,O018202,P0115,1,3599.0,False
OI0004403,O002080,P0050,1,339.0,False
OI0002528,O001170,P0077,1,759.0,False
OI0024578,O011549,P0115,1,3599.0,False
OI0032267,O015054,P0080,1,1109.0,False
OI0017610,O008261,P0066,1,1799.0,False
OI0037991,O017699,P0097,1,3189.0,False
OI0025679,O012033,P0056,1,1669.0,False
OI0000709,O000315,P0048,1,2009.0,False
OI0000565,O000256,P0078,2,2479.0,False
OI0041795,O019489,P0076,1,3209.0,False
OI0033274,O015527,P0105,1,329.0,False
OI0030394,O014213,P0086,1,1059.0,False
OI0023743,O011187,P0023,1,469.0,False
OI0051353,O023965,P0130,2,2989.0,False
OI0053066,O024755,P0088,1,2659.0,False
OI0001423,O000649,P0088,1,2659.0,False
OI0054491,O025398,P0076,1,3209.0,False
OI0020738,O009734,P0078,1,2479.0,False
OI0024948,O011722,P0076,1,3209.0,False
OI0024547,O011532,P0064,1,2919.0,False
OI0040815,O019059,P0121,1,1429.0,False
OI0045509,O021249,P0051,1,359.0,False
OI0009302,O004349,P0061,1,3279.0,False
OI0003883,O001808,P0052,3,549.0,False
OI0047694,O022356,P0095,1,1979.0,False
OI0021921,O010281,P0125,1,3389.0,False
OI0013450,O006271,P0003,1,329.0,False
OI0000274,O000132,P0079,1,2439.0,False
OI0020076,O009420,P0073,1,1649.0,False
OI0044290,O020642,P0128,1,809.0,False
OI0006096,O002859,P0099,1,3719.0,False
OI0008242,O003891,P0098,1,1899.0,False
OI0037763,O017591,P0017,1,469.0,False
OI0052285,O024389,P0127,1,4309.0,False
OI0032454,O015145,P0048,1,2009.0,False
OI0000972,O000442,P0009,3,1739.0,False
OI0010854,O005071,P0041,1,3489.0,False
OI0038153,O017758,P0041,3,3489.0,False
OI0021670,O010162,P0128,1,809.0,False
OI0052975,O024715,P0126,3,959.0,False
OI0054012,O025178,P0119,2,1169.0,False
OI0024902,O011705,P0013,1,1309.0,False
OI0054309,O025306,P0034,1,309.0,False
OI0040015,O018646,P0097,1,3189.0,False
OI0018555,O008696,P0054,3,2239.0,False
OI0017896,O008379,P0010,2,1259.0,False
OI0003038,O001407,P0045,1,2259.0,False
OI0036336,O016969,P0019,1,1249.0,False
OI0042623,O019871,P0028,1,1619.0,False
OI0041789,O019487,P0090,1,1419.0,False
OI0049262,O023039,P0127,1,4309.0,False
OI0027688,O012963,P0019,1,1249.0,False
OI0005971,O002786,P0097,1,3189.0,False
OI0030921,O014450,P0095,1,1979.0,False
OI0021269,O009966,P0129,1,1419.0,False
OI0024450,O011477,P0125,1,3389.0,False
OI0007641,O003602,P0054,2,2239.0,False
OI0029951,O013991,P0127,1,4309.0,False
OI0005693,O002639,P0099,1,3719.0,False
OI0009168,O004273,P0094,1,1249.0,False
OI0041496,O019358,P0021,1,579.0,False
OI0012567,O005850,P0048,1,2009.0,False
OI0031908,O014915,P0110,1,2369.0,False
OI0009069,O004237,P0070,1,2019.0,False
OI0002516,O001162,P0078,1,2479.0,False
OI0017283,O008132,P0066,1,1799.0,False
OI0058983,O027411,P0069,1,2179.0,False
OI0054187,O025258,P0082,2,2319.0,False
OI0024671,O011594,P0105,3,329.0,False
OI0020501,O009617,P0019,3,1249.0,False
OI0039447,O018370,P0104,2,249.0,False
OI0015619,O007310,P0041,1,3489.0,False
OI0034393,O016073,P0091,1,1059.0,False
OI0032075,O014984,P0017,1,469.0,False
OI0012571,O005852,P0016,1,2519.0,False
OI0024211,O011383,P0095,1,1979.0,False
OI0042951,O020007,P0034,1,309.0,False
OI0007183,O003382,P0130,1,2989.0,False
OI0034419,O016090,P0046,1,659.0,False
OI0043049,O020045,P0076,1,3209.0,False
OI0053297,O024865,P0019,2,1249.0,False
OI0046669,O021849,P0047,1,1979.0,False
OI0038093,O017739,P0078,1,2479.0,False
OI0008995,O004199,P0042,1,1039.0,False
OI0008909,O004177,P0129,1,1419.0,False
OI0035923,O016774,P0009,2,1739.0,False
OI0008189,O003867,P0066,3,1799.0,False
OI0016522,O007780,P0119,1,1169.0,False
OI0051394,O023987,P0052,1,549.0,False
OI0037111,O017335,P0124,1,1249.0,False
OI0046887,O021954,P0058,1,1699.0,False
OI0035084,O016381,P0099,1,3719.0,False
OI0004544,O002152,P0102,2,819.0,False
OI0011490,O005358,P0080,1,1109.0,False
OI0003496,O001651,P0078,2,2479.0,False
OI0024132,O011342,P0042,1,1039.0,False
OI0028451,O013326,P0035,1,469.0,False
OI0054652,O025477,P0130,1,2989.0,False
OI0031005,O014492,P0083,3,549.0,False
OI0018924,O008883,P0051,1,359.0,False
OI0046500,O021753,P0005,1,3129.0,False
OI0035038,O016364,P0120,1,2359.0,False
OI0052382,O024446,P0076,1,3209.0,False
OI0047931,O022456,P0037,2,279.0,False
OI0008676,O004083,P0015,1,3089.0,False
OI0032279,O015059,P0032,1,2129.0,False
OI0014300,O006662,P0114,2,2449.0,False
OI0047772,O022390,P0014,1,1249.0,False
OI0024331,O011441,P0101,1,3329.0,False
OI0031650,O014794,P0023,1,469.0,False
OI0051406,O023992,P0054,1,2239.0,False
OI0019056,O008934,P0079,1,2439.0,False
OI0048046,O022488,P0023,1,469.0,False
OI0034761,O016234,P0021,2,579.0,False
OI0054179,O025255,P0080,2,1109.0,False
OI0010466,O004901,P0097,1,3189.0,False
OI0009527,O004445,P0048,2,2009.0,False
OI0010454,O004895,P0001,1,1479.0,False
OI0046034,O021514,P0058,1,1699.0,False
OI0022803,O010688,P0048,1,2009.0,False
OI0029875,O013967,P0066,1,1799.0,False
OI0037562,O017517,P0099,3,3719.0,False
OI0047197,O022108,P0101,2,3329.0,False
OI0005538,O002573,P0090,2,1419.0,False
OI0049534,O023155,P0115,2,3599.0,False
OI0018145,O008511,P0019,3,1249.0,False
OI0037105,O017333,P0097,2,3189.0,False
OI0007341,O003443,P0073,2,1649.0,False
OI0057338,O026683,P0082,1,2319.0,False
OI0020758,O009744,P0047,3,1979.0,False
OI0020165,O009465,P0111,1,3399.0,False
OI0037353,O017433,P0127,1,4309.0,False
OI0011248,O005241,P0078,3,2479.0,False
OI0018926,O008884,P0019,1,1249.0,False
OI0046470,O021737,P0019,1,1249.0,False
OI0004658,O002198,P0095,1,1979.0,False
OI0013421,O006256,P0099,1,3719.0,False
OI0052489,O024499,P0054,1,2239.0,False
OI0032890,O015338,P0055,1,429.0,False
OI0050749,O023675,P0097,1,3189.0,False
OI0033000,O015396,P0094,1,1249.0,False
OI0044366,O020669,P0091,1,1059.0,False
OI0026613,O012491,P0003,1,329.0,False
OI0001176,O000514,P0028,1,1619.0,False
OI0049388,O023101,P0067,1,279.0,False
OI0050740,O023671,P0042,1,1039.0,False
OI0042269,O019711,P0003,1,329.0,False
OI0041794,O019489,P0080,2,1109.0,False
OI0029550,O013816,P0097,1,3189.0,False
OI0047118,O022070,P0041,2,3489.0,False
OI0020878,O009798,P0001,1,1479.0,False
OI0054973,O025635,P0069,1,2179.0,False
OI0020124,O009445,P0041,1,3489.0,False
OI0040962,O019129,P0095,1,1979.0,False
OI0048121,O022517,P0099,2,3719.0,False
OI0045326,O021138,P0115,1,3599.0,False
OI0016350,O007685,P0115,1,3599.0,False
OI0032180,O015026,P0041,1,3489.0,False
OI0043599,O020306,P0048,2,2009.0,False
OI0020138,O009450,P0034,1,309.0,False
OI0005785,O002686,P0052,1,549.0,False
OI0011322,O005270,P0072,1,2649.0,False
OI0051932,O024228,P0128,1,809.0,False
OI0022172,O010391,P0073,3,1649.0,False
OI0033772,O015757,P0081,1,1449.0,False
OI0048639,O022744,P0051,1,359.0,False
OI0058207,O027059,P0010,3,1259.0,False
OI0046654,O021839,P0076,1,3209.0,False
OI0006921,O003263,P0096,1,559.0,False
OI0033377,O015567,P0025,1,2039.0,False
OI0048584,O022716,P0066,1,1799.0,False
OI0035566,O016600,P0058,1,1699.0,False
OI0057383,O026694,P0052,2,549.0,False
OI0016975,O007983,P0128,2,809.0,False
OI0002299,O001060,P0019,1,1249.0,False
OI0044857,O020898,P0090,1,1419.0,False
OI0018586,O008707,P0012,1,1679.0,False
OI0049970,O023342,P0101,1,3329.0,False
OI0030136,O014087,P0105,1,329.0,False
OI0001711,O000774,P0052,3,549.0,False
OI0011536,O005377,P0090,3,1419.0,False
OI0001880,O000863,P0066,1,1799.0,False
OI0012620,O005877,P0071,1,3389.0,False
OI0017484,O008219,P0076,3,3209.0,False
OI0010916,O005097,P0042,2,1039.0,False
OI0010046,O004679,P0048,1,2009.0,False
OI0030276,O014152,P0082,2,2319.0,False
OI0025864,O012117,P0078,1,2479.0,False
OI0049159,O023001,P0069,1,2179.0,False
OI0022925,O010762,P0048,1,2009.0,False
OI0058834,O027338,P0099,1,3719.0,False
OI0004885,O002295,P0082,3,2319.0,False
OI0003804,O001766,P0110,1,2369.0,False
OI0012190,O005665,P0127,1,4309.0,False
OI0020683,O009712,P0099,1,3719.0,False
OI0010905,O005093,P0082,1,2319.0,False
OI0015781,O007394,P0066,3,1799.0,False
OI0000755,O000336,P0023,1,469.0,False
OI0018185,O008525,P0067,1,279.0,False
OI0040565,O018906,P0019,1,1249.0,False
OI0014862,O006970,P0003,1,329.0,False
OI0034359,O016049,P0080,3,1109.0,False
OI0059189,O027520,P0017,2,469.0,False
OI0057115,O026586,P0019,1,1249.0,False
OI0038268,O017814,P0082,2,2319.0,False
OI0013925,O006478,P0041,1,3489.0,False
OI0027902,O013061,P0115,1,3599.0,False
OI0021965,O010299,P0036,2,2009.0,False
OI0032728,O015275,P0093,1,879.0,False
OI0021901,O010273,P0037,1,279.0,False
OI0048790,O022832,P0095,1,1979.0,False
OI0020118,O009443,P0088,2,2659.0,False
OI0008660,O004073,P0115,1,3599.0,False
OI0035869,O016744,P0052,1,549.0,False
OI0014713,O006883,P0066,2,1799.0,False
OI0033733,O015730,P0099,1,3719.0,False
OI0019488,O009128,P0052,3,549.0,False
OI0056818,O026442,P0025,1,2039.0,False
OI0042495,O019809,P0019,2,1249.0,False
OI0005360,O002498,P0129,1,1419.0,False
OI0029762,O013911,P0050,1,339.0,False
OI0003105,O001449,P0128,1,809.0,False
OI0021795,O010227,P0060,1,2269.0,False
OI0030302,O014167,P0066,1,1799.0,False
OI0054813,O025566,P0093,1,879.0,False
OI0037995,O017702,P0042,1,1039.0,False
OI0035393,O016510,P0127,3,4309.0,False
OI0030259,O014146,P0099,1,3719.0,False
OI0021714,O010184,P0127,3,4309.0,False
OI0058800,O027322,P0066,1,1799.0,False
OI0013713,O006377,P0120,1,2359.0,False
OI0023318,O010968,P0099,1,3719.0,False
OI0025312,O011880,P0009,1,1739.0,False
OI0004829,O002264,P0097,3,3189.0,False
OI0032416,O015126,P0053,2,2309.0,False
OI0036465,O017037,P0097,1,3189.0,False
OI0009888,O004609,P0083,1,549.0,False
OI0034094,O015911,P0092,2,2339.0,False
OI0050266,O023474,P0047,3,1979.0,False
OI0046891,O021957,P0019,2,1249.0,False
OI0043032,O020038,P0119,1,1169.0,False
OI0042808,O019958,P0048,1,2009.0,False
OI0015627,O007312,P0037,2,279.0,False
OI0028552,O013361,P0052,2,549.0,False
OI0048664,O022757,P0102,2,819.0,False
OI0005982,O002794,P0051,3,359.0,False
OI0016287,O007652,P0050,1,339.0,False
OI0011430,O005323,P0107,1,1019.0,False
OI0018105,O008486,P0088,2,2659.0,False
OI0047468,O022248,P0029,1,719.0,False
OI0038096,O017740,P0080,1,1109.0,False
OI0031467,O014702,P0091,2,1059.0,False
OI0029510,O013798,P0115,1,3599.0,False
OI0000645,O000278,P0098,1,1899.0,False
OI0039770,O018510,P0129,1,1419.0,False
OI0016811,O007905,P0003,3,329.0,False
OI0019467,O009120,P0041,1,3489.0,False
OI0044161,O020587,P0082,1,2319.0,False
OI0024655,O011588,P0110,2,2369.0,False
OI0045162,O021047,P0003,1,329.0,False
OI0039476,O018386,P0104,1,249.0,False
OI0048889,O022869,P0078,3,2479.0,False
OI0030516,O014264,P0082,1,2319.0,False
OI0011376,O005298,P0048,3,2009.0,False
OI0011579,O005402,P0098,1,1899.0,False
OI0005764,O002671,P0048,2,2009.0,False
OI0040789,O019041,P0027,2,3309.0,False
OI0050422,O023541,P0102,1,819.0,False
OI0004991,O002339,P0104,2,249.0,False
OI0029322,O013694,P0099,3,3719.0,False
OI0020716,O009723,P0031,3,2139.0,False
OI0019663,O009211,P0003,2,329.0,False
OI0018315,O008580,P0080,1,1109.0,False
OI0048610,O022732,P0128,1,809.0,False
OI0049134,O022989,P0066,1,1799.0,False
OI0010173,O004760,P0128,1,809.0,False
OI0021056,O009871,P0127,2,4309.0,False
OI0055483,O025849,P0013,1,1309.0,False
OI0000055,O000030,P0019,2,1249.0,False
OI0011666,O005434,P0113,1,1119.0,False
OI0040427,O018826,P0020,1,2479.0,False
OI0018447,O008650,P0048,1,2009.0,False
OI0038949,O018135,P0118,1,1229.0,False
OI0049289,O023055,P0097,1,3189.0,False
OI0008452,O003984,P0054,1,2239.0,False
OI0008427,O003973,P0119,1,1169.0,False
OI0000225,O000114,P0091,2,1059.0,False
OI0018150,O008513,P0128,1,809.0,False
OI0042304,O019728,P0042,2,1039.0,False
OI0034688,O016203,P0016,1,2519.0,False
OI0024940,O011720,P0108,2,2569.0,False
OI0037839,O017632,P0041,3,3489.0,False
OI0008714,O004103,P0088,1,2659.0,False
OI0001247,O000547,P0041,1,3489.0,False
OI0031392,O014667,P0032,1,2129.0,False
OI0017080,O008034,P0025,2,2039.0,False
OI0057000,O026532,P0031,1,2139.0,False
OI0052589,O024547,P0083,1,549.0,False
OI0003594,O001689,P0080,2,1109.0,False
OI0042711,O019915,P0123,1,309.0,False
OI0035972,O016797,P0115,1,3599.0,False
OI0044840,O020889,P0057,1,2349.0,False
OI0016613,O007813,P0016,1,2519.0,False
OI0034224,O015978,P0029,1,719.0,False
OI0031610,O014773,P0053,1,2309.0,False
OI0040833,O019067,P0082,2,2319.0,False
OI0004673,O002205,P0019,1,1249.0,False
OI0046362,O021671,P0050,2,339.0,False
OI0042367,O019757,P0037,1,279.0,False
OI0007279,O003420,P0019,1,1249.0,False
OI0014596,O006813,P0059,1,4089.0,False
OI0001222,O000532,P0115,1,3599.0,False
OI0009520,O004443,P0013,2,1309.0,False
OI0027417,O012840,P0017,1,469.0,False
OI0059121,O027485,P0123,2,309.0,False
OI0056982,O026524,P0026,1,4869.0,False
OI0040357,O018784,P0105,1,329.0,False
OI0016928,O007964,P0052,1,549.0,False
OI0026713,O012529,P0050,3,339.0,False
OI0038322,O017841,P0104,1,249.0,False
OI0049277,O023048,P0017,1,469.0,False
OI0044449,O020711,P0037,2,279.0,False
OI0012320,O005730,P0048,1,2009.0,False
OI0037577,O017524,P0109,2,1449.0,False
OI0032435,O015134,P0058,1,1699.0,False
OI0035965,O016793,P0126,1,959.0,False
OI0017476,O008217,P0099,1,3719.0,False
OI0048158,O022535,P0097,1,3189.0,False
OI0043840,O020424,P0064,1,2919.0,False
OI0050129,O023412,P0017,2,469.0,False
OI0000613,O000269,P0082,1,2319.0,False
OI0043420,O020219,P0080,1,1109.0,False
OI0035386,O016508,P0044,1,3739.0,False
OI0048532,O022692,P0099,1,3719.0,False
OI0009852,O004595,P0102,2,819.0,False
OI0030668,O014338,P0005,1,3129.0,False
OI0040074,O018669,P0093,1,879.0,False
OI0019627,O009190,P0032,3,2129.0,False
OI0041750,O019472,P0071,1,3389.0,False
OI0029217,O013651,P0103,1,2509.0,False
OI0028102,O013154,P0073,1,1649.0,False
OI0014970,O007034,P0120,1,2359.0,False
OI0026393,O012390,P0095,1,1979.0,False
OI0000891,O000398,P0130,2,2989.0,False
OI0047425,O022226,P0070,1,2019.0,False
OI0009056,O004230,P0102,1,819.0,False
OI0058335,O027111,P0019,1,1249.0,False
OI0023303,O010964,P0108,1,2569.0,False
OI0003662,O001711,P0019,2,1249.0,False
OI0022296,O010452,P0058,1,1699.0,False
OI0013444,O006267,P0099,1,3719.0,False
OI0057324,O026678,P0099,1,3719.0,False
OI0045170,O021050,P0059,2,4089.0,False
OI0030170,O014105,P0112,1,559.0,False
OI0045297,O021119,P0019,1,1249.0,False
OI0004022,O001900,P0079,1,2439.0,False
OI0028772,O013448,P0018,1,2429.0,False
OI0001183,O000515,P0097,1,3189.0,False
OI0037295,O017410,P0128,2,809.0,False
OI0016531,O007782,P0017,1,469.0,False
OI0022250,O010423,P0089,1,1829.0,False
OI0010181,O004766,P0095,1,1979.0,False
OI0039067,O018192,P0102,1,819.0,False
OI0046277,O021635,P0054,2,2239.0,False
OI0039061,O018187,P0052,2,549.0,False
OI0048474,O022676,P0070,1,2019.0,False
OI0004270,O002008,P0097,2,3189.0,False
OI0011476,O005351,P0042,1,1039.0,False
OI0010690,O005001,P0020,1,2479.0,False
OI0036782,O017187,P0031,1,2139.0,False
OI0012965,O006038,P0104,1,249.0,False
OI0019167,O008983,P0105,1,329.0,False
OI0014284,O006652,P0099,1,3719.0,False
OI0022956,O010775,P0130,1,2989.0,False
OI0045347,O021147,P0012,1,1679.0,False
OI0050433,O023544,P0070,1,2019.0,False
OI0019827,O009294,P0064,1,2919.0,False
OI0028155,O013182,P0097,2,3189.0,False
OI0031676,O014804,P0041,1,3489.0,False
OI0058026,O026988,P0055,2,429.0,False
OI0036399,O017000,P0071,1,3389.0,False
OI0015581,O007295,P0115,1,3599.0,False
OI0057738,O026833,P0057,1,2349.0,False
OI0022072,O010348,P0127,1,4309.0,False
OI0004801,O002250,P0026,2,4869.0,False
OI0049714,O023215,P0070,1,2019.0,False
OI0047944,O022461,P0073,1,1649.0,False
OI0018999,O008904,P0025,1,2039.0,False
OI0008207,O003876,P0041,1,3489.0,False
OI0022187,O010397,P0013,1,1309.0,False
OI0018050,O008456,P0052,1,549.0,False
OI0021862,O010256,P0079,3,2439.0,False
OI0039197,O018242,P0101,1,3329.0,False
OI0025284,O011868,P0041,1,3489.0,False
OI0038826,O018075,P0096,1,559.0,False
OI0017123,O008062,P0115,1,3599.0,False
OI0046888,O021955,P0118,1,1229.0,False
OI0029371,O013726,P0127,1,4309.0,False
OI0003100,O001446,P0057,3,2349.0,False
OI0058374,O027134,P0019,2,1249.0,False
OI0032429,O015131,P0052,1,549.0,False
OI0040339,O018777,P0023,2,469.0,False
OI0050763,O023684,P0082,1,2319.0,False
OI0050045,O023378,P0082,1,2319.0,False
OI0000222,O000113,P0034,1,309.0,False
OI0005103,O002378,P0051,2,359.0,False
OI0024523,O011523,P0095,1,1979.0,False
OI0022113,O010361,P0005,2,3129.0,False
OI0036664,O017132,P0003,1,329.0,False
OI0051279,O023942,P0051,1,359.0,False
OI0054989,O025643,P0128,1,809.0,False
OI0038157,O017760,P0115,1,3599.0,False
OI0041052,O019175,P0105,1,329.0,False
OI0046276,O021635,P0050,2,339.0,False
OI0006949,O003281,P0108,1,2569.0,False
OI0038337,O017853,P0061,1,3279.0,False
OI0046084,O021538,P0070,1,2019.0,False
OI0037920,O017658,P0082,1,2319.0,False
OI0034665,O016198,P0028,1,1619.0,False
OI0040416,O018821,P0101,1,3329.0,False
OI0032289,O015064,P0058,2,1699.0,False
OI0047002,O022016,P0029,1,719.0,False
OI0005346,O002490,P0101,2,3329.0,False
OI0034597,O016176,P0037,2,279.0,False
OI0053647,O025022,P0059,1,4089.0,False
OI0033052,O015422,P0073,1,1649.0,False
OI0034175,O015962,P0052,3,549.0,False
OI0015220,O007123,P0078,2,2479.0,False
OI0020459,O009601,P0066,2,1799.0,False
OI0038595,O017968,P0088,1,2659.0,False
OI0024110,O011335,P0097,1,3189.0,False
OI0022820,O010696,P0080,2,1109.0,False
OI0043705,O020359,P0046,1,659.0,False
